PATH,LINE,ERROR
ansible-role-tripleo-modify-image-tasks-modify_image.yml,35,suspicious comment
bifrost-playbooks-roles-bifrost-ironic-install-defaults-required_defaults_Fedora_26.yml,8,hardcoded-secret
bifrost-playbooks-roles-bifrost-ironic-install-defaults-required_defaults_Fedora_26.yml,8,hardcoded-username
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,15,admin-by-default
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,15,hardcoded-secret
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,15,hardcoded-username
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,16,empty-password
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,16,hardcoded-password
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,16,hardcoded-secret
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,23,use of http
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,47,admin-by-default
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,47,hardcoded-secret
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,47,hardcoded-username
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,48,hardcoded-password
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,48,hardcoded-secret
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,55,hardcoded-secret
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,55,hardcoded-username
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,56,hardcoded-password
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,56,hardcoded-secret
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,61,hardcoded-secret
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,61,hardcoded-username
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,62,hardcoded-password
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,62,hardcoded-secret
bifrost-playbooks-roles-bifrost-keystone-install-defaults-required_defaults_Debian_jessie.yml,5,hardcoded-secret
bifrost-playbooks-roles-bifrost-keystone-install-defaults-required_defaults_Debian_jessie.yml,5,hardcoded-username
browbeat-ansible-browbeat-roles-gnocchi-config-tasks-main.yml,11,suspicious comment
browbeat-ansible-install-roles-fluentd-tasks-main.yml,17,hardcoded-secret
openstack-ansible-ops-elk_metrics_6x-roles-elastic_filebeat-tasks-main.yml,46,no-integrity-check
openstack-ansible-ops-leap-upgrades-upgrade-utilities-mitaka-playbooks-deploy-config-changes-mitaka.yml,20,admin-by-default
openstack-ansible-ops-leap-upgrades-upgrade-utilities-mitaka-playbooks-deploy-config-changes-mitaka.yml,20,hardcoded-secret
openstack-ansible-ops-leap-upgrades-upgrade-utilities-mitaka-playbooks-deploy-config-changes-mitaka.yml,20,hardcoded-username
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,18,improper ip address binding
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,24,use of http
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,28,use of http
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,32,use of http
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,53,use of http
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,54,use of http
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,57,use of http
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,60,use of http
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,68,use of http
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,69,use of http
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,72,use of http
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,75,use of http
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,83,use of http
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,84,use of http
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,87,use of http
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,90,use of http
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,96,use of http
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,97,use of http
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,98,use of http
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,102,use of http
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,105,use of http
openstack-ansible-playbooks-common-tasks-os-lxc-container-setup.yml,96,suspicious comment
openstack-ansible-playbooks-common-tasks-os-lxc-container-setup.yml,98,suspicious comment
openstack-ansible-playbooks-common-tasks-os-lxc-container-setup.yml,119,suspicious comment
openstack-ansible-playbooks-common-tasks-os-lxc-container-setup.yml,121,suspicious comment
openstack-ansible-playbooks-healthcheck-hosts.yml,20,suspicious comment
openstack-ansible-playbooks-healthcheck-hosts.yml,23,suspicious comment
openstack-ansible-playbooks-lxc-containers-destroy.yml,22,hardcoded-secret
openstack-ansible-playbooks-lxc-containers-destroy.yml,33,admin-by-default
openstack-ansible-playbooks-lxc-containers-destroy.yml,33,hardcoded-secret
openstack-ansible-playbooks-lxc-containers-destroy.yml,33,hardcoded-username
openstack-ansible-playbooks-os-designate-install.yml,22,admin-by-default
openstack-ansible-playbooks-os-designate-install.yml,22,hardcoded-secret
openstack-ansible-playbooks-os-designate-install.yml,22,hardcoded-username
openstack-ansible-playbooks-os-tempest-install.yml,19,admin-by-default
openstack-ansible-playbooks-os-tempest-install.yml,19,hardcoded-secret
openstack-ansible-playbooks-os-tempest-install.yml,19,hardcoded-username
openstack-ansible-playbooks-utility-install.yml,18,admin-by-default
openstack-ansible-playbooks-utility-install.yml,18,hardcoded-secret
openstack-ansible-playbooks-utility-install.yml,18,hardcoded-username
openstack-ansible-playbooks-utility-install.yml,70,hardcoded-secret
tripleo-quickstart-roles-libvirt-setup-overcloud-tasks-vars-libvirt_nodepool_vars.yml,16,hardcoded-password
tripleo-quickstart-roles-libvirt-setup-overcloud-tasks-vars-libvirt_nodepool_vars.yml,16,hardcoded-secret
