PATH,LINE,ERROR
Automattic@vip-quickstart-puppet-manifests-sections-mail.pp,1,suspicious comment
Automattic@vip-quickstart-puppet-manifests-sections-mail.pp,7,admin-by-default
Automattic@vip-quickstart-puppet-manifests-sections-mail.pp,7,hardcoded-secret
Automattic@vip-quickstart-puppet-manifests-sections-mail.pp,7,hardcoded-username
Juniper@contrail-puppet-contrail-environment-modules-contrail-manifests-collector-config.pp,74,improper ip address binding
Juniper@contrail-puppet-contrail-environment-modules-contrail-manifests-collector-config.pp,166,hardcoded-secret
Juniper@contrail-puppet-contrail-environment-modules-contrail-manifests-collector-config.pp,171,hardcoded-secret
Juniper@contrail-puppet-contrail-environment-modules-contrail-manifests-collector-config.pp,176,hardcoded-secret
SecGen@SecGen-modules-services-unix-database-mysql-manifests-backup-xtrabackup.pp,3,hardcoded-secret
SecGen@SecGen-modules-services-unix-database-mysql-manifests-backup-xtrabackup.pp,3,hardcoded-username
SecGen@SecGen-modules-services-unix-database-mysql-manifests-backup-xtrabackup.pp,4,empty-password
SecGen@SecGen-modules-services-unix-database-mysql-manifests-backup-xtrabackup.pp,4,hardcoded-password
SecGen@SecGen-modules-services-unix-database-mysql-manifests-backup-xtrabackup.pp,4,hardcoded-secret
SecGen@SecGen-modules-services-unix-database-mysql-manifests-backup-xtrabackup.pp,32,admin-by-default
SecGen@SecGen-modules-services-unix-database-mysql-manifests-backup-xtrabackup.pp,32,hardcoded-secret
SecGen@SecGen-modules-services-unix-database-mysql-manifests-backup-xtrabackup.pp,32,hardcoded-username
SecGen@SecGen-modules-services-unix-database-mysql-manifests-backup-xtrabackup.pp,42,admin-by-default
SecGen@SecGen-modules-services-unix-database-mysql-manifests-backup-xtrabackup.pp,42,hardcoded-secret
SecGen@SecGen-modules-services-unix-database-mysql-manifests-backup-xtrabackup.pp,42,hardcoded-username
SecGen@SecGen-modules-services-unix-http-tomcat-manifests-instance-dependencies.pp,6,weak cryptography algorithms
SecGen@SecGen-modules-services-unix-http-tomcat-manifests-instance-dependencies.pp,7,weak cryptography algorithms
SecGen@SecGen-modules-services-unix-smb-samba-manifests-params.pp,111,improper ip address binding
SecGen@SecGen-modules-utilities-unix-firewall-firewall-manifests-linux-redhat.pp,23,suspicious comment
SecGen@SecGen-modules-utilities-unix-firewall-firewall-manifests-linux-redhat.pp,67,hardcoded-secret
SecGen@SecGen-modules-utilities-unix-firewall-firewall-manifests-linux-redhat.pp,67,hardcoded-username
SecGen@SecGen-modules-utilities-unix-firewall-firewall-manifests-linux-redhat.pp,68,hardcoded-secret
SecGen@SecGen-modules-utilities-unix-firewall-firewall-manifests-linux-redhat.pp,68,hardcoded-username
SecGen@SecGen-modules-utilities-unix-firewall-firewall-manifests-linux-redhat.pp,72,hardcoded-secret
SecGen@SecGen-modules-utilities-unix-firewall-firewall-manifests-linux-redhat.pp,72,hardcoded-username
SecGen@SecGen-modules-vulnerabilities-unix-access_control_misconfigurations-uid_less_root-uid_less_root.pp,2,admin-by-default
SecGen@SecGen-modules-vulnerabilities-unix-access_control_misconfigurations-uid_less_root-uid_less_root.pp,2,hardcoded-secret
SecGen@SecGen-modules-vulnerabilities-unix-access_control_misconfigurations-uid_less_root-uid_less_root.pp,2,hardcoded-username
Vizir@carnival-vagrant-modules-apt-manifests-backports.pp,31,missing default case statement
Vizir@carnival-vagrant-modules-apt-manifests-backports.pp,35,missing default case statement
Vizir@carnival-vagrant-modules-apt-manifests-backports.pp,45,hardcoded-secret
alphagov@govuk-puppet-modules-govuk-manifests-node-s_calculators_frontend.pp,1,suspicious comment
alphagov@govuk-puppet-modules-govuk-manifests-node-s_calculators_frontend.pp,29,improper ip address binding
alphagov@govuk-puppet-modules-govuk_beat-manifests-repo.pp,16,use of http
alphagov@govuk-puppet-modules-govuk_elasticsearch-manifests-dump.pp,1,suspicious comment
alphagov@govuk-puppet-modules-govuk_elasticsearch-manifests-dump.pp,31,hardcoded-secret
alphagov@govuk-puppet-modules-govuk_elasticsearch-manifests-dump.pp,31,hardcoded-username
alphagov@govuk-puppet-modules-govuk_jenkins-manifests-jobs-scrape_icinga_alerts_for_dashboard_metrics.pp,34,hardcoded-secret
alphagov@govuk-puppet-modules-govuk_mysql-manifests-server.pp,48,empty-password
alphagov@govuk-puppet-modules-govuk_mysql-manifests-server.pp,48,hardcoded-password
alphagov@govuk-puppet-modules-govuk_mysql-manifests-server.pp,48,hardcoded-secret
alphagov@govuk-puppet-modules-govuk_mysql-manifests-server.pp,70,missing default case statement
alphagov@govuk-puppet-modules-govuk_mysql-manifests-server.pp,76,missing default case statement
alphagov@govuk-puppet-modules-govuk_mysql-manifests-server.pp,84,improper ip address binding
alphagov@govuk-puppet-modules-govuk_postgresql-manifests-env_sync_user.pp,14,hardcoded-secret
alphagov@govuk-puppet-modules-govuk_postgresql-manifests-env_sync_user.pp,14,hardcoded-username
alphagov@govuk-puppet-modules-govuk_postgresql-manifests-env_sync_user.pp,22,hardcoded-secret
alphagov@govuk-puppet-modules-govuk_postgresql-manifests-env_sync_user.pp,22,hardcoded-username
alphagov@govuk-puppet-modules-govuk_postgresql-manifests-env_sync_user.pp,23,weak cryptography algorithms
alphagov@govuk-puppet-modules-govuk_rabbitmq-manifests-monitoring.pp,1,suspicious comment
alphagov@govuk-puppet-modules-govuk_rbenv-manifests-all.pp,18,use of http
alphagov@govuk-puppet-modules-govuk_rbenv-manifests-all.pp,21,hardcoded-secret
alphagov@govuk-puppet-modules-govuk_rbenv-manifests-all.pp,36,suspicious comment
alphagov@govuk-puppet-modules-icinga-manifests-init.pp,1,suspicious comment
alphagov@govuk-puppet-modules-users-manifests-felisialoukou.pp,5,hardcoded-secret
boxbilling@boxbilling-puphpet-puppet-modules-puphpet-manifests-php-pecl.pp,17,missing default case statement
boxbilling@boxbilling-puphpet-puppet-modules-puphpet-manifests-php-pecl.pp,29,missing default case statement
boxbilling@boxbilling-puphpet-puppet-modules-puphpet-manifests-php-pecl.pp,32,missing default case statement
boxbilling@boxbilling-puphpet-puppet-modules-puphpet-manifests-php-pecl.pp,42,missing default case statement
boxbilling@boxbilling-puphpet-puppet-modules-puphpet-manifests-php-pecl.pp,44,missing default case statement
boxbilling@boxbilling-puphpet-puppet-modules-yum-manifests-repo-jpackage6.pp,9,use of http
boxbilling@boxbilling-puphpet-puppet-modules-yum-manifests-repo-jpackage6.pp,12,use of http
camptocamp@puppet-python-manifests-pip-couchdb.pp,20,suspicious comment
camptocamp@puppet-python-manifests-pip-couchdb.pp,21,suspicious comment
