PATH,LINE,CATEGORY
ansible-role-systemd_mount-ansible-role-requirements.yaml,2,Use of HTTP without SSL/TLS
ansible-role-systemd_mount-vars-main.yml,8,Use of HTTP without SSL/TLS
ansible-role-tripleo-modify-image-tasks-modify_image.yml,35,Suspicious comment
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,16,Empty password
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,44,Suspicious comment
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,47,Admin by default
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,48,Hard-coded secret
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,56,Hard-coded secret
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,62,Hard-coded secret
browbeat-ansible-install-roles-epel-defaults-main.yml,2,Use of HTTP without SSL/TLS
browbeat-ansible-install-roles-epel-defaults-main.yml,3,Use of HTTP without SSL/TLS
browbeat-ansible-install-roles-fluentd-tasks-main.yml,189,Use of HTTP without SSL/TLS
openstack-ansible-inventory-env.d-blazar.yml,8,Use of HTTP without SSL/TLS
openstack-ansible-inventory-group_vars-ceilometer_all.yml,20,Use of HTTP without SSL/TLS
openstack-ansible-inventory-group_vars-designate_all.yml,8,Use of HTTP without SSL/TLS
openstack-ansible-ops-elk_metrics_6x-roles-elastic_filebeat-tasks-main.yml,46,Use of HTTP without SSL/TLS
openstack-ansible-ops-elk_metrics_6x-roles-elastic_heartbeat-handlers-main.yml,8,Use of HTTP without SSL/TLS
openstack-ansible-ops-elk_metrics_6x-roles-elastic_journalbeat-vars-redhat.yml,8,Use of HTTP without SSL/TLS
openstack-ansible-ops-elk_metrics_6x-roles-elastic_rollup-defaults-main.yml,8,Use of HTTP without SSL/TLS
openstack-ansible-ops-elk_metrics_6x-roles-elasticsearch-meta-main.yml,8,Use of HTTP without SSL/TLS
openstack-ansible-ops-elk_metrics_6x-roles-go_install_1.10-tasks-main.yml,8,Use of HTTP without SSL/TLS
openstack-ansible-ops-elk_metrics_6x-tests-ansible-role-requirements.yml,4,Use of HTTP without SSL/TLS
openstack-ansible-ops-elk_metrics_6x-tests-ansible-role-requirements.yml,8,Use of HTTP without SSL/TLS
openstack-ansible-ops-elk_metrics_6x-tests-ansible-role-requirements.yml,12,Use of HTTP without SSL/TLS
openstack-ansible-ops-elk_metrics_6x-tests-ansible-role-requirements.yml,16,Use of HTTP without SSL/TLS
openstack-ansible-ops-elk_metrics_6x-tests-ansible-role-requirements.yml,20,Use of HTTP without SSL/TLS
openstack-ansible-ops-elk_metrics_6x-tests-ansible-role-requirements.yml,24,Use of HTTP without SSL/TLS
openstack-ansible-ops-elk_metrics_6x-tests-ansible-role-requirements.yml,28,Use of HTTP without SSL/TLS
openstack-ansible-ops-elk_metrics_6x-tests-ansible-role-requirements.yml,32,Use of HTTP without SSL/TLS
openstack-ansible-ops-leap-upgrades-upgrade-utilities-mitaka-playbooks-deploy-config-changes-mitaka.yml,8,Use of HTTP without SSL/TLS
openstack-ansible-ops-leap-upgrades-upgrade-utilities-mitaka-playbooks-deploy-config-changes-mitaka.yml,20,Admin by default
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,18,Unrestricted IP Address
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,24,Use of HTTP without SSL/TLS
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,28,Use of HTTP without SSL/TLS
