PATH,LINE,CATEGORY
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-graphite.rb,130,Admin by default
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-graphite.rb,153,Admin by default
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-graphite.rb,174,Admin by default
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-graphite.rb,177,Admin by default
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-graphite.rb,184,Admin by default
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-mysql.rb,11,Use of HTTP without SSL/TLS
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-mysql.rb,22,Admin by default
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-mysql.rb,54,Admin by default
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-mysql.rb,55,Admin by default
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-mysql.rb,72,Admin by default
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-mysql.rb,73,Admin by default
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-mysql.rb,87,Admin by default
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-mysql.rb,126,Admin by default
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-mysql.rb,135,Admin by default
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-mysql.rb,136,Admin by default
EEDARIT_opsworks-cookbooks-iis-resources-root.rb,12,Use of HTTP without SSL/TLS
Nikhil424_chef-repo-cookbooks-jdk-recipes-default.rb,11,Admin by default
Nikhil424_chef-repo-cookbooks-jdk-recipes-default.rb,15,Admin by default
Nikhil424_chef-repo-cookbooks-windows-resources-pagefile.rb,12,Use of HTTP without SSL/TLS
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,2,Use of HTTP without SSL/TLS
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,12,Missing Default in Case Statement
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,14,Use of HTTP without SSL/TLS
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,16,Use of HTTP without SSL/TLS
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,18,Use of HTTP without SSL/TLS
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,20,Use of HTTP without SSL/TLS
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,23,Missing Default in Case Statement
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,26,Use of HTTP without SSL/TLS
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,28,Use of HTTP without SSL/TLS
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,30,Use of HTTP without SSL/TLS
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,33,Use of HTTP without SSL/TLS
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,36,Use of HTTP without SSL/TLS
TaxiOS_zabbix-recipes-server_source.rb,99,Hard-coded secret
aws_aws-parallelcluster-cookbook-cookbooks-aws-parallelcluster-slurm-recipes-install_slurm.rb,68,Use of weak cryptography algorithms
aws_aws-parallelcluster-cookbook-cookbooks-aws-parallelcluster-slurm-recipes-install_slurm.rb,93,Suspicious comment
aws_aws-parallelcluster-cookbook-cookbooks-aws-parallelcluster-slurm-recipes-install_slurm.rb,112,Suspicious comment
aws_aws-parallelcluster-cookbook-cookbooks-aws-parallelcluster-slurm-recipes-install_slurm.rb,117,Missing Default in Case Statement
binary-com_chef-third-party-cookbooks-datadog-recipes-openmetrics.rb,11,Use of HTTP without SSL/TLS
binary-com_chef-third-party-cookbooks-datadog-recipes-openmetrics.rb,92,Use of HTTP without SSL/TLS
binary-com_chef-third-party-cookbooks-poise-files-halite_gem-poise-subcontext-resource_collection.rb,8,Use of HTTP without SSL/TLS
chef-boneyard_qa-chef-server-cluster-attributes-default.rb,1,Suspicious comment
chef-boneyard_qa-chef-server-cluster-attributes-default.rb,3,Hard-coded secret
chef-boneyard_qa-chef-server-cluster-attributes-default.rb,4,Hard-coded secret
chef_mixlib-install-acceptance-windows-server-2012r2-fips-.acceptance-acceptance-cookbook-recipes-verify.rb,12,Hard-coded secret
cookbooks_hw-nginx-recipes-commons_dir.rb,22,Admin by default
cookbooks_hw-nginx-recipes-commons_dir.rb,35,Admin by default
cookbooks_ic-elasticsearch-cookbooks-install_from-definitions-osx_application.rb,2,Hard-coded secret
cookbooks_ic-ganglia-cookbooks-elasticsearch-recipes-plugins.rb,13,Use of HTTP without SSL/TLS
cookbooks_ic-ganglia-cookbooks-elasticsearch-recipes-plugins.rb,23,Admin by default
cookbooks_ic-ganglia-cookbooks-elasticsearch-recipes-plugins.rb,24,Admin by default
cookbooks_ic-ganglia-cookbooks-elasticsearch-recipes-plugins.rb,30,Admin by default
cookbooks_ic-hadoop_cluster-cookbooks-hbase-recipes-stargate.rb,13,Use of HTTP without SSL/TLS
cookbooks_ic-hadoop_cluster-cookbooks-zabbix-recipes-database_mysql.rb,13,Use of HTTP without SSL/TLS
cookbooks_ic-jenkins-cookbooks-zabbix-recipes-database_mysql.rb,13,Use of HTTP without SSL/TLS
cookbooks_ic-jenkins-cookbooks-zabbix-recipes-database_mysql.rb,32,Missing Default in Case Statement
cookbooks_ic-jenkins-cookbooks-zabbix-recipes-database_mysql.rb,129,Use of weak cryptography algorithms
cookbooks_ic-nodejs-cookbooks-hbase-recipes-config_files.rb,49,Suspicious comment
cookbooks_ic-package_set-cookbooks-rvm-providers-global_gem.rb,91,Admin by default
cookbooks_ic-pig-cookbooks-zabbix-attributes-default.rb,34,Hard-coded secret
cookbooks_ic-pig-cookbooks-zabbix-attributes-default.rb,36,Hard-coded secret
cookbooks_ic-pig-cookbooks-zabbix-attributes-default.rb,51,Hard-coded secret
cookbooks_ic-pig-cookbooks-zabbix-attributes-default.rb,52,Hard-coded secret
cookbooks_ic-pig-cookbooks-zabbix-attributes-default.rb,52,Suspicious comment
cookbooks_ic-tuning-cookbooks-ganglia-recipes-default.rb,13,Use of HTTP without SSL/TLS
cookbooks_ic-tuning-cookbooks-zabbix-libraries-zabbix_hosts_and_templates.rb,11,Missing Default in Case Statement
cookbooks_ic-tuning-cookbooks-zabbix-libraries-zabbix_hosts_and_templates.rb,28,Missing Default in Case Statement
cookbooks_ic-volumes-cookbooks-strongswan-recipes-routing.rb,22,Suspicious comment
cookbooks_ic-volumes_ebs-cookbooks-graphite-attributes-default.rb,19,Unrestricted IP Address
cookbooks_ic-volumes_ebs-cookbooks-graphite-attributes-default.rb,20,Unrestricted IP Address
cookbooks_ic-volumes_ebs-cookbooks-graphite-attributes-default.rb,21,Unrestricted IP Address
cookbooks_ic-volumes_ebs-cookbooks-graphite-attributes-default.rb,28,Use of weak cryptography algorithms
cookbooks_ic-volumes_ebs-cookbooks-graphite-attributes-default.rb,32,Use of weak cryptography algorithms
cookbooks_ic-volumes_ebs-cookbooks-graphite-attributes-default.rb,37,Use of weak cryptography algorithms
cookbooks_ic-volumes_ebs-cookbooks-mongodb-attributes-mongodb.rb,3,Use of HTTP without SSL/TLS
