PATH,LINE,CATEGORY
Automattic@vip-quickstart-puppet-manifests-sections-mail.pp,1,Suspicious comment
Automattic@vip-quickstart-puppet-manifests-sections-mail.pp,7,Admin by default
Automattic@vip-quickstart-puppet-manifests-sections-mail.pp,7,Hard-coded secret
Juniper@contrail-puppet-contrail-environment-modules-contrail-manifests-collector-config.pp,74,Unrestricted IP Address
Juniper@contrail-puppet-contrail-environment-modules-contrail-manifests-collector-config.pp,166,Hard-coded secret
Juniper@contrail-puppet-contrail-environment-modules-contrail-manifests-collector-config.pp,171,Hard-coded secret
Juniper@contrail-puppet-contrail-environment-modules-contrail-manifests-collector-config.pp,176,Hard-coded secret
SecGen@SecGen-modules-services-unix-database-mysql-manifests-backup-xtrabackup.pp,3,Hard-coded secret
SecGen@SecGen-modules-services-unix-database-mysql-manifests-backup-xtrabackup.pp,4,Empty password
SecGen@SecGen-modules-services-unix-database-mysql-manifests-backup-xtrabackup.pp,4,Hard-coded secret
SecGen@SecGen-modules-services-unix-database-mysql-manifests-backup-xtrabackup.pp,32,Admin by default
SecGen@SecGen-modules-services-unix-database-mysql-manifests-backup-xtrabackup.pp,32,Hard-coded secret
SecGen@SecGen-modules-services-unix-database-mysql-manifests-backup-xtrabackup.pp,42,Admin by default
SecGen@SecGen-modules-services-unix-database-mysql-manifests-backup-xtrabackup.pp,42,Hard-coded secret
SecGen@SecGen-modules-services-unix-http-tomcat-manifests-instance-dependencies.pp,6,Use of weak cryptography algorithms
SecGen@SecGen-modules-services-unix-http-tomcat-manifests-instance-dependencies.pp,7,Use of weak cryptography algorithms
SecGen@SecGen-modules-services-unix-smb-samba-manifests-params.pp,111,Unrestricted IP Address
SecGen@SecGen-modules-utilities-unix-firewall-firewall-manifests-linux-redhat.pp,23,Suspicious comment
SecGen@SecGen-modules-utilities-unix-firewall-firewall-manifests-linux-redhat.pp,67,Hard-coded secret
SecGen@SecGen-modules-utilities-unix-firewall-firewall-manifests-linux-redhat.pp,68,Hard-coded secret
SecGen@SecGen-modules-utilities-unix-firewall-firewall-manifests-linux-redhat.pp,72,Hard-coded secret
SecGen@SecGen-modules-vulnerabilities-unix-access_control_misconfigurations-uid_less_root-uid_less_root.pp,2,Admin by default
SecGen@SecGen-modules-vulnerabilities-unix-access_control_misconfigurations-uid_less_root-uid_less_root.pp,2,Hard-coded secret
Vizir@carnival-vagrant-modules-apt-manifests-backports.pp,31,Missing Default in Case Statement
Vizir@carnival-vagrant-modules-apt-manifests-backports.pp,35,Missing Default in Case Statement
Vizir@carnival-vagrant-modules-apt-manifests-backports.pp,45,Hard-coded secret
alphagov@govuk-puppet-modules-govuk-manifests-node-s_calculators_frontend.pp,1,Suspicious comment
alphagov@govuk-puppet-modules-govuk-manifests-node-s_calculators_frontend.pp,29,Unrestricted IP Address
alphagov@govuk-puppet-modules-govuk_beat-manifests-repo.pp,16,Use of HTTP without SSL/TLS
alphagov@govuk-puppet-modules-govuk_elasticsearch-manifests-dump.pp,1,Suspicious comment
alphagov@govuk-puppet-modules-govuk_elasticsearch-manifests-dump.pp,31,Hard-coded secret
alphagov@govuk-puppet-modules-govuk_jenkins-manifests-jobs-scrape_icinga_alerts_for_dashboard_metrics.pp,34,Hard-coded secret
alphagov@govuk-puppet-modules-govuk_mysql-manifests-server.pp,48,Empty password
alphagov@govuk-puppet-modules-govuk_mysql-manifests-server.pp,48,Hard-coded secret
alphagov@govuk-puppet-modules-govuk_mysql-manifests-server.pp,70,Missing Default in Case Statement
alphagov@govuk-puppet-modules-govuk_mysql-manifests-server.pp,76,Missing Default in Case Statement
alphagov@govuk-puppet-modules-govuk_mysql-manifests-server.pp,84,Unrestricted IP Address
alphagov@govuk-puppet-modules-govuk_postgresql-manifests-env_sync_user.pp,14,Hard-coded secret
alphagov@govuk-puppet-modules-govuk_postgresql-manifests-env_sync_user.pp,22,Hard-coded secret
alphagov@govuk-puppet-modules-govuk_postgresql-manifests-env_sync_user.pp,23,Use of weak cryptography algorithms
alphagov@govuk-puppet-modules-govuk_rabbitmq-manifests-monitoring.pp,1,Suspicious comment
alphagov@govuk-puppet-modules-govuk_rbenv-manifests-all.pp,18,Use of HTTP without SSL/TLS
alphagov@govuk-puppet-modules-govuk_rbenv-manifests-all.pp,21,Hard-coded secret
alphagov@govuk-puppet-modules-govuk_rbenv-manifests-all.pp,36,Suspicious comment
alphagov@govuk-puppet-modules-icinga-manifests-init.pp,1,Suspicious comment
alphagov@govuk-puppet-modules-users-manifests-felisialoukou.pp,5,Hard-coded secret
boxbilling@boxbilling-puphpet-puppet-modules-puphpet-manifests-php-pecl.pp,17,Missing Default in Case Statement
boxbilling@boxbilling-puphpet-puppet-modules-puphpet-manifests-php-pecl.pp,29,Missing Default in Case Statement
boxbilling@boxbilling-puphpet-puppet-modules-puphpet-manifests-php-pecl.pp,32,Missing Default in Case Statement
boxbilling@boxbilling-puphpet-puppet-modules-puphpet-manifests-php-pecl.pp,42,Missing Default in Case Statement
boxbilling@boxbilling-puphpet-puppet-modules-puphpet-manifests-php-pecl.pp,44,Missing Default in Case Statement
boxbilling@boxbilling-puphpet-puppet-modules-yum-manifests-repo-jpackage6.pp,9,Use of HTTP without SSL/TLS
boxbilling@boxbilling-puphpet-puppet-modules-yum-manifests-repo-jpackage6.pp,12,Use of HTTP without SSL/TLS
camptocamp@puppet-python-manifests-pip-couchdb.pp,20,Suspicious comment
camptocamp@puppet-python-manifests-pip-couchdb.pp,21,Suspicious comment
cargomedia@puppet-packages-modules-backup-manifests-agent.pp,21,Admin by default
cargomedia@puppet-packages-modules-backup-manifests-agent.pp,21,Hard-coded secret
cargomedia@puppet-packages-modules-backup-manifests-agent.pp,26,Admin by default
cargomedia@puppet-packages-modules-backup-manifests-agent.pp,26,Hard-coded secret
cargomedia@puppet-packages-modules-backup-manifests-agent.pp,33,Admin by default
cargomedia@puppet-packages-modules-backup-manifests-agent.pp,33,Hard-coded secret
cargomedia@puppet-packages-modules-mysql-manifests-server-instance.pp,1,Empty password
cargomedia@puppet-packages-modules-mysql-manifests-server-instance.pp,1,Hard-coded secret
danofthewired@puppet-bitbucket-examples-bitbucket_mysql_java_install.pp,9,Hard-coded secret
danofthewired@puppet-bitbucket-examples-bitbucket_mysql_java_install.pp,13,Hard-coded secret
danofthewired@puppet-bitbucket-examples-bitbucket_mysql_java_install.pp,14,Hard-coded secret
hubspotdevops@puppet-nexus-manifests-params.pp,28,Use of HTTP without SSL/TLS
hubspotdevops@puppet-nexus-manifests-params.pp,29,Hard-coded secret
