PATH,LINE,CATEGORY
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-graphite.rb,23,Hard-coded secret
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-graphite.rb,162,Admin by default
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-graphite.rb,177,Admin by default
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-graphite.rb,177,Hard-coded secret
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-mysql.rb,44,Admin by default
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-mysql.rb,47,Admin by default
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,8,Missing Default in Case Statement
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,12,Missing Default in Case Statement
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,14,Use of HTTP without SSL/TLS
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,16,Use of HTTP without SSL/TLS
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,18,Use of HTTP without SSL/TLS
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,20,Use of HTTP without SSL/TLS
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,23,Missing Default in Case Statement
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,26,Use of HTTP without SSL/TLS
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,28,Use of HTTP without SSL/TLS
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,30,Use of HTTP without SSL/TLS
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,33,Use of HTTP without SSL/TLS
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,36,Use of HTTP without SSL/TLS
TaxiOS_zabbix-recipes-server_source.rb,14,Missing Default in Case Statement
TaxiOS_zabbix-recipes-server_source.rb,17,Missing Default in Case Statement
TaxiOS_zabbix-recipes-server_source.rb,32,Missing Default in Case Statement
TaxiOS_zabbix-recipes-server_source.rb,57,Missing Default in Case Statement
TaxiOS_zabbix-recipes-server_source.rb,70,No integrity check
aws_aws-parallelcluster-cookbook-cookbooks-aws-parallelcluster-slurm-recipes-install_slurm.rb,93,Suspicious comment
aws_aws-parallelcluster-cookbook-cookbooks-aws-parallelcluster-slurm-recipes-install_slurm.rb,112,Suspicious comment
aws_aws-parallelcluster-cookbook-cookbooks-aws-parallelcluster-slurm-recipes-install_slurm.rb,117,Missing Default in Case Statement
chef-boneyard_qa-chef-server-cluster-attributes-default.rb,1,Suspicious comment
chef-boneyard_qa-chef-server-cluster-attributes-default.rb,3,Hard-coded secret
chef_mixlib-install-acceptance-windows-server-2012r2-fips-.acceptance-acceptance-cookbook-recipes-verify.rb,9,Admin by default
chef_mixlib-install-acceptance-windows-server-2012r2-fips-.acceptance-acceptance-cookbook-recipes-verify.rb,9,Hard-coded secret
chef_mixlib-install-acceptance-windows-server-2012r2-fips-.acceptance-acceptance-cookbook-recipes-verify.rb,12,Hard-coded secret
cookbooks_ic-elasticsearch-cookbooks-install_from-definitions-osx_application.rb,19,No integrity check
cookbooks_ic-ganglia-cookbooks-elasticsearch-recipes-plugins.rb,23,Admin by default
cookbooks_ic-ganglia-cookbooks-elasticsearch-recipes-plugins.rb,24,Admin by default
cookbooks_ic-ganglia-cookbooks-elasticsearch-recipes-plugins.rb,30,Admin by default
cookbooks_ic-ganglia-cookbooks-elasticsearch-recipes-plugins.rb,32,No integrity check
cookbooks_ic-hadoop_cluster-cookbooks-zabbix-recipes-database_mysql.rb,13,Use of HTTP without SSL/TLS
cookbooks_ic-hadoop_cluster-cookbooks-zabbix-recipes-database_mysql.rb,25,Admin by default
cookbooks_ic-hadoop_cluster-cookbooks-zabbix-recipes-database_mysql.rb,86,Admin by default
