PATH,LINE,CATEGORY
Juniper@contrail-puppet-contrail-environment-modules-contrail-manifests-collector-config.pp,74,Unrestricted IP Address
SecGen@SecGen-modules-services-unix-database-mysql-manifests-backup-xtrabackup.pp,4,Empty password
SecGen@SecGen-modules-services-unix-database-mysql-manifests-backup-xtrabackup.pp,32,Admin by default
SecGen@SecGen-modules-services-unix-database-mysql-manifests-backup-xtrabackup.pp,42,Admin by default
SecGen@SecGen-modules-services-unix-smb-samba-manifests-params.pp,44,Admin by default
SecGen@SecGen-modules-services-unix-smb-samba-manifests-params.pp,111,Unrestricted IP Address
StackStorm@st2workroom-modules-profile-manifests-ec2.pp,5,Admin by default
Vizir@carnival-vagrant-modules-apt-manifests-backports.pp,31,Missing Default in Case Statement
Vizir@carnival-vagrant-modules-apt-manifests-backports.pp,35,Missing Default in Case Statement
alphagov@govuk-puppet-modules-govuk_beat-manifests-repo.pp,16,Use of HTTP without SSL/TLS
alphagov@govuk-puppet-modules-govuk_elasticsearch-manifests-dump.pp,1,Suspicious comment
alphagov@govuk-puppet-modules-govuk_mysql-manifests-server.pp,84,Unrestricted IP Address
alphagov@govuk-puppet-modules-govuk_postgresql-manifests-env_sync_user.pp,14,Admin by default
alphagov@govuk-puppet-modules-govuk_postgresql-manifests-env_sync_user.pp,23,Use of weak cryptography algorithms
alphagov@govuk-puppet-modules-govuk_rabbitmq-manifests-monitoring.pp,1,Suspicious comment
alphagov@govuk-puppet-modules-govuk_rbenv-manifests-all.pp,18,Use of HTTP without SSL/TLS
alphagov@govuk-puppet-modules-icinga-manifests-init.pp,1,Suspicious comment
boxbilling@boxbilling-puphpet-puppet-modules-puphpet-manifests-php-pecl.pp,17,Missing Default in Case Statement
boxbilling@boxbilling-puphpet-puppet-modules-puphpet-manifests-php-pecl.pp,29,Missing Default in Case Statement
boxbilling@boxbilling-puphpet-puppet-modules-puphpet-manifests-php-pecl.pp,32,Missing Default in Case Statement
boxbilling@boxbilling-puphpet-puppet-modules-puphpet-manifests-php-pecl.pp,42,Missing Default in Case Statement
boxbilling@boxbilling-puphpet-puppet-modules-puphpet-manifests-php-pecl.pp,44,Missing Default in Case Statement
boxbilling@boxbilling-puphpet-puppet-modules-yum-manifests-repo-jpackage6.pp,9,Use of HTTP without SSL/TLS
boxbilling@boxbilling-puphpet-puppet-modules-yum-manifests-repo-jpackage6.pp,12,Use of HTTP without SSL/TLS
camptocamp@puppet-python-manifests-pip-couchdb.pp,19,Suspicious comment
cargomedia@puppet-packages-modules-backup-manifests-agent.pp,20,Hard-coded secret
cargomedia@puppet-packages-modules-backup-manifests-agent.pp,21,Admin by default
cargomedia@puppet-packages-modules-backup-manifests-agent.pp,21,Hard-coded secret
cargomedia@puppet-packages-modules-backup-manifests-agent.pp,26,Admin by default
cargomedia@puppet-packages-modules-backup-manifests-agent.pp,26,Hard-coded secret
