PATH,LINE,CATEGORY
ansible-role-tripleo-modify-image-tasks-modify_image.yml,35,Suspicious comment
bifrost-playbooks-roles-bifrost-ironic-install-defaults-required_defaults_Fedora_26.yml,8,Hard-coded secret
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,15,Admin by default
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,15,Hard-coded secret
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,16,Empty password
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,16,Hard-coded secret
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,47,Admin by default
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,47,Hard-coded secret
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,48,Hard-coded secret
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,55,Hard-coded secret
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,56,Hard-coded secret
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,61,Hard-coded secret
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,62,Hard-coded secret
openstack-ansible-ops-elk_metrics_6x-roles-elastic_filebeat-tasks-main.yml,46,No integrity check
openstack-ansible-ops-leap-upgrades-upgrade-utilities-mitaka-playbooks-deploy-config-changes-mitaka.yml,20,Admin by default
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,18,Unrestricted IP Address
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,24,Use of HTTP without SSL/TLS
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,28,Use of HTTP without SSL/TLS
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,32,Use of HTTP without SSL/TLS
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,53,Use of HTTP without SSL/TLS
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,54,Use of HTTP without SSL/TLS
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,57,Use of HTTP without SSL/TLS
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,60,Use of HTTP without SSL/TLS
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,68,Use of HTTP without SSL/TLS
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,69,Use of HTTP without SSL/TLS
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,72,Use of HTTP without SSL/TLS
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,75,Use of HTTP without SSL/TLS
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,83,Use of HTTP without SSL/TLS
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,84,Use of HTTP without SSL/TLS
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,87,Use of HTTP without SSL/TLS
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,90,Use of HTTP without SSL/TLS
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,96,Use of HTTP without SSL/TLS
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,97,Use of HTTP without SSL/TLS
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,98,Use of HTTP without SSL/TLS
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,102,Use of HTTP without SSL/TLS
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,105,Use of HTTP without SSL/TLS
openstack-ansible-playbooks-common-tasks-os-lxc-container-setup.yml,98,Suspicious comment
openstack-ansible-playbooks-common-tasks-os-lxc-container-setup.yml,121,Suspicious comment
openstack-ansible-playbooks-lxc-containers-destroy.yml,33,Admin by default
openstack-ansible-playbooks-lxc-containers-destroy.yml,33,Hard-coded secret
openstack-ansible-playbooks-os-designate-install.yml,22,Admin by default
openstack-ansible-playbooks-os-designate-install.yml,22,Hard-coded secret
openstack-ansible-playbooks-os-tempest-install.yml,19,Admin by default
openstack-ansible-playbooks-os-tempest-install.yml,19,Hard-coded secret
openstack-ansible-playbooks-utility-install.yml,18,Admin by default
openstack-ansible-tests-roles-bootstrap-host-defaults-main.yml,31,Hard-coded secret
openstack-ansible-tests-roles-bootstrap-host-defaults-main.yml,32,Hard-coded secret
openstack-ansible-tests-roles-bootstrap-host-defaults-main.yml,41,Hard-coded secret
