PATH,LINE,CATEGORY
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-graphite.rb,130,Admin by default
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-graphite.rb,153,Admin by default
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-graphite.rb,160,Admin by default
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-graphite.rb,161,Admin by default
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-graphite.rb,162,Admin by default
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-graphite.rb,163,Admin by default
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-graphite.rb,164,Admin by default
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-graphite.rb,174,Admin by default
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-graphite.rb,184,Admin by default
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-mysql.rb,22,Hard-coded secret
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-mysql.rb,24,Hard-coded secret
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-mysql.rb,26,Hard-coded secret
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-mysql.rb,42,Admin by default
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-mysql.rb,50,Admin by default
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-mysql.rb,87,Admin by default
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-mysql.rb,99,Admin by default
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-mysql.rb,126,Admin by default
Nikhil424_chef-repo-cookbooks-jdk-recipes-default.rb,11,Admin by default
Nikhil424_chef-repo-cookbooks-jdk-recipes-default.rb,15,Admin by default
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,8,Missing Default in Case Statement
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,12,Missing Default in Case Statement
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,14,Use of HTTP without SSL/TLS
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,16,Use of HTTP without SSL/TLS
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,18,Use of HTTP without SSL/TLS
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,20,Use of HTTP without SSL/TLS
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,23,Missing Default in Case Statement
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,26,Use of HTTP without SSL/TLS
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,28,Use of HTTP without SSL/TLS
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,30,Use of HTTP without SSL/TLS
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,33,Use of HTTP without SSL/TLS
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,36,Use of HTTP without SSL/TLS
TaxiOS_zabbix-recipes-server_source.rb,14,Missing Default in Case Statement
TaxiOS_zabbix-recipes-server_source.rb,17,Missing Default in Case Statement
TaxiOS_zabbix-recipes-server_source.rb,32,Missing Default in Case Statement
TaxiOS_zabbix-recipes-server_source.rb,57,Missing Default in Case Statement
aws_aws-parallelcluster-cookbook-cookbooks-aws-parallelcluster-slurm-recipes-install_slurm.rb,75,Admin by default
aws_aws-parallelcluster-cookbook-cookbooks-aws-parallelcluster-slurm-recipes-install_slurm.rb,93,Suspicious comment
aws_aws-parallelcluster-cookbook-cookbooks-aws-parallelcluster-slurm-recipes-install_slurm.rb,101,Admin by default
aws_aws-parallelcluster-cookbook-cookbooks-aws-parallelcluster-slurm-recipes-install_slurm.rb,112,Suspicious comment
aws_aws-parallelcluster-cookbook-cookbooks-aws-parallelcluster-slurm-recipes-install_slurm.rb,117,Missing Default in Case Statement
chef-boneyard_qa-chef-server-cluster-attributes-default.rb,3,Hard-coded secret
chef_mixlib-install-acceptance-windows-server-2012r2-fips-.acceptance-acceptance-cookbook-recipes-verify.rb,12,Hard-coded secret
cookbooks_ic-ganglia-cookbooks-elasticsearch-recipes-plugins.rb,30,Admin by default
cookbooks_ic-hadoop_cluster-cookbooks-zabbix-recipes-database_mysql.rb,25,Admin by default
cookbooks_ic-hadoop_cluster-cookbooks-zabbix-recipes-database_mysql.rb,26,Admin by default
cookbooks_ic-hadoop_cluster-cookbooks-zabbix-recipes-database_mysql.rb,47,Admin by default
cookbooks_ic-hadoop_cluster-cookbooks-zabbix-recipes-database_mysql.rb,135,Admin by default
cookbooks_ic-jenkins-cookbooks-zabbix-recipes-database_mysql.rb,25,Admin by default
cookbooks_ic-jenkins-cookbooks-zabbix-recipes-database_mysql.rb,26,Admin by default
cookbooks_ic-jenkins-cookbooks-zabbix-recipes-database_mysql.rb,47,Admin by default
cookbooks_ic-jenkins-cookbooks-zabbix-recipes-database_mysql.rb,129,Use of weak cryptography algorithms
cookbooks_ic-nodejs-cookbooks-hbase-recipes-config_files.rb,49,Suspicious comment
cookbooks_ic-package_set-cookbooks-rvm-providers-global_gem.rb,91,Admin by default
cookbooks_ic-pig-cookbooks-zabbix-attributes-default.rb,34,Hard-coded secret
cookbooks_ic-pig-cookbooks-zabbix-attributes-default.rb,35,Empty password
cookbooks_ic-pig-cookbooks-zabbix-attributes-default.rb,35,Hard-coded secret
cookbooks_ic-pig-cookbooks-zabbix-attributes-default.rb,36,Hard-coded secret
cookbooks_ic-pig-cookbooks-zabbix-attributes-default.rb,37,Empty password
cookbooks_ic-pig-cookbooks-zabbix-attributes-default.rb,37,Hard-coded secret
cookbooks_ic-pig-cookbooks-zabbix-attributes-default.rb,51,Hard-coded secret
cookbooks_ic-pig-cookbooks-zabbix-attributes-default.rb,52,Hard-coded secret
cookbooks_ic-tuning-cookbooks-zabbix-libraries-zabbix_hosts_and_templates.rb,11,Missing Default in Case Statement
cookbooks_ic-tuning-cookbooks-zabbix-libraries-zabbix_hosts_and_templates.rb,28,Missing Default in Case Statement
cookbooks_ic-volumes-cookbooks-strongswan-recipes-routing.rb,22,Suspicious comment
cookbooks_ic-volumes_ebs-cookbooks-graphite-attributes-default.rb,19,Unrestricted IP Address
cookbooks_ic-volumes_ebs-cookbooks-graphite-attributes-default.rb,20,Unrestricted IP Address
cookbooks_ic-volumes_ebs-cookbooks-graphite-attributes-default.rb,21,Unrestricted IP Address
cookbooks_ic-volumes_ebs-cookbooks-mongodb-attributes-mongodb.rb,29,Unrestricted IP Address
cookbooks_ic-volumes_ebs-cookbooks-mongodb-attributes-mongodb.rb,35,Empty password
cookbooks_ic-volumes_ebs-cookbooks-mongodb-attributes-mongodb.rb,35,Hard-coded secret
cookbooks_ic-volumes_ebs-cookbooks-resque-attributes-default.rb,24,Unrestricted IP Address
cookbooks_ic-zabbix-cookbooks-zabbix-providers-host.rb,28,Unrestricted IP Address
cookbooks_ic-zabbix-cookbooks-zabbix-providers-host.rb,50,Unrestricted IP Address
danielladd_Chef-Testing-cookbooks-mysql-attributes-server_rhel.rb,1,Missing Default in Case Statement
danielladd_Chef-Testing-cookbooks-mysql-attributes-server_rhel.rb,10,Missing Default in Case Statement
