PATH,LINE,CATEGORY
Automattic@vip-quickstart-puppet-manifests-sections-mail.pp,7,Hard-coded secret
Juniper@contrail-puppet-contrail-environment-modules-contrail-manifests-collector-config.pp,51,Empty password
Juniper@contrail-puppet-contrail-environment-modules-contrail-manifests-collector-config.pp,74,Unrestricted IP Address
Juniper@contrail-puppet-contrail-environment-modules-contrail-manifests-collector-config.pp,166,Hard-coded secret
Juniper@contrail-puppet-contrail-environment-modules-contrail-manifests-collector-config.pp,171,Hard-coded secret
Juniper@contrail-puppet-contrail-environment-modules-contrail-manifests-collector-config.pp,176,Hard-coded secret
SecGen@SecGen-modules-services-unix-database-mysql-manifests-backup-xtrabackup.pp,4,Empty password
SecGen@SecGen-modules-services-unix-database-mysql-manifests-backup-xtrabackup.pp,32,Hard-coded secret
SecGen@SecGen-modules-services-unix-database-mysql-manifests-backup-xtrabackup.pp,42,Hard-coded secret
SecGen@SecGen-modules-services-unix-http-tomcat-manifests-instance-dependencies.pp,6,Use of weak cryptography algorithms
SecGen@SecGen-modules-services-unix-http-tomcat-manifests-instance-dependencies.pp,7,Use of weak cryptography algorithms
SecGen@SecGen-modules-services-unix-smb-samba-manifests-params.pp,111,Unrestricted IP Address
SecGen@SecGen-modules-utilities-unix-firewall-firewall-manifests-linux-redhat.pp,23,Suspicious comment
SecGen@SecGen-modules-utilities-unix-firewall-firewall-manifests-linux-redhat.pp,67,Hard-coded secret
SecGen@SecGen-modules-utilities-unix-firewall-firewall-manifests-linux-redhat.pp,68,Hard-coded secret
SecGen@SecGen-modules-vulnerabilities-unix-access_control_misconfigurations-uid_less_root-uid_less_root.pp,2,Hard-coded secret
Vizir@carnival-vagrant-modules-apt-manifests-backports.pp,45,Hard-coded secret
alphagov@govuk-puppet-modules-govuk-manifests-node-s_calculators_frontend.pp,1,Suspicious comment
alphagov@govuk-puppet-modules-govuk-manifests-node-s_calculators_frontend.pp,29,Unrestricted IP Address
alphagov@govuk-puppet-modules-govuk_beat-manifests-repo.pp,16,Use of HTTP without SSL/TLS
alphagov@govuk-puppet-modules-govuk_elasticsearch-manifests-dump.pp,1,Suspicious comment
alphagov@govuk-puppet-modules-govuk_elasticsearch-manifests-dump.pp,30,Use of HTTP without SSL/TLS
alphagov@govuk-puppet-modules-govuk_elasticsearch-manifests-dump.pp,31,Hard-coded secret
alphagov@govuk-puppet-modules-govuk_jenkins-manifests-jobs-smokey.pp,17,Hard-coded secret
alphagov@govuk-puppet-modules-govuk_mysql-manifests-server.pp,52,Hard-coded secret
alphagov@govuk-puppet-modules-govuk_mysql-manifests-server.pp,84,Unrestricted IP Address
alphagov@govuk-puppet-modules-govuk_postgresql-manifests-env_sync_user.pp,15,Hard-coded secret
alphagov@govuk-puppet-modules-govuk_postgresql-manifests-env_sync_user.pp,22,Hard-coded secret
alphagov@govuk-puppet-modules-govuk_postgresql-manifests-env_sync_user.pp,23,Use of weak cryptography algorithms
alphagov@govuk-puppet-modules-govuk_rabbitmq-manifests-monitoring.pp,1,Suspicious comment
alphagov@govuk-puppet-modules-govuk_rbenv-manifests-all.pp,18,Use of HTTP without SSL/TLS
alphagov@govuk-puppet-modules-govuk_rbenv-manifests-all.pp,21,Hard-coded secret
alphagov@govuk-puppet-modules-icinga-manifests-init.pp,1,Suspicious comment
alphagov@govuk-puppet-modules-users-manifests-felisialoukou.pp,2,Hard-coded secret
boxbilling@boxbilling-puphpet-puppet-modules-yum-manifests-repo-jpackage6.pp,9,Use of HTTP without SSL/TLS
boxbilling@boxbilling-puphpet-puppet-modules-yum-manifests-repo-jpackage6.pp,12,Hard-coded secret
boxbilling@boxbilling-puphpet-puppet-modules-yum-manifests-repo-jpackage6.pp,12,Use of HTTP without SSL/TLS
cargomedia@puppet-packages-modules-backup-manifests-agent.pp,21,Hard-coded secret
cargomedia@puppet-packages-modules-backup-manifests-agent.pp,26,Hard-coded secret
cargomedia@puppet-packages-modules-backup-manifests-agent.pp,33,Hard-coded secret
cargomedia@puppet-packages-modules-mysql-manifests-server-instance.pp,1,Empty password
ceph@puppet-ceph-manifests-mds.pp,35,Hard-coded secret
danofthewired@puppet-bitbucket-examples-bitbucket_mysql_java_install.pp,9,Hard-coded secret
danofthewired@puppet-bitbucket-examples-bitbucket_mysql_java_install.pp,13,Hard-coded secret
danofthewired@puppet-bitbucket-examples-bitbucket_mysql_java_install.pp,14,Hard-coded secret
hubspotdevops@puppet-nexus-manifests-params.pp,28,Use of HTTP without SSL/TLS
hubspotdevops@puppet-nexus-manifests-params.pp,34,Hard-coded secret
hubspotdevops@puppet-nexus-manifests-params.pp,36,Unrestricted IP Address
hubspotdevops@puppet-nexus-manifests-params.pp,40,Use of HTTP without SSL/TLS
hubspotdevops@puppet-nexus-manifests-params.pp,44,Use of weak cryptography algorithms
mattheath@puppet-php-manifests-version.pp,102,Hard-coded secret
openstack@fuel-library-deployment-puppet-openstack_tasks-manifests-ironic-db.pp,9,Hard-coded secret
openstack@fuel-library-deployment-puppet-openstack_tasks-manifests-ironic-db.pp,13,Hard-coded secret
openstack@fuel-library-deployment-puppet-osnailyfacter-manifests-ssh.pp,35,Use of weak cryptography algorithms
openstack@fuel-library-deployment-puppet-osnailyfacter-manifests-ssh.pp,39,Hard-coded secret
openstack@puppet-neutron-manifests-params.pp,45,Hard-coded secret
openstack@puppet-neutron-manifests-params.pp,95,Hard-coded secret
openstack@puppet-neutron-manifests-server-placement.pp,71,Hard-coded secret
openstack@puppet-neutron-manifests-server-placement.pp,75,Hard-coded secret
openstack@puppet-neutron-manifests-server-placement.pp,76,Hard-coded secret
openstack@puppet-neutron-manifests-server-placement.pp,77,Use of HTTP without SSL/TLS
openstack@puppet-openstack-integration-manifests-designate.pp,11,Hard-coded secret
openstack@puppet-openstack-integration-manifests-designate.pp,16,Hard-coded secret
openstack@puppet-openstack-integration-manifests-designate.pp,37,Suspicious comment
openstack@puppet-openstack-integration-manifests-designate.pp,39,Hard-coded secret
openstack@puppet-openstack-integration-manifests-designate.pp,40,Use of HTTP without SSL/TLS
openstack@puppet-openstack-integration-manifests-designate.pp,41,Use of HTTP without SSL/TLS
openstack@puppet-openstack-integration-manifests-designate.pp,42,Use of HTTP without SSL/TLS
openstack@puppet-openstack-integration-manifests-designate.pp,45,Hard-coded secret
openstack@puppet-openstack-integration-manifests-designate.pp,46,Hard-coded secret
openstack@puppet-openstack-integration-manifests-designate.pp,55,Use of HTTP without SSL/TLS
openstack@puppet-openstack-integration-manifests-designate.pp,61,Suspicious comment
openstack@puppet-openstack-integration-manifests-designate.pp,100,Suspicious comment
openstack@puppet-tripleo-manifests-profile-base-aide-installdb.pp,36,Hard-coded secret
