PATH,LINE,CATEGORY
ansible-role-container-registry-tasks-docker-distribution.yml,0,none
ansible-role-container-registry-vars-main.yml,0,none
ansible-role-systemd_mount-ansible-role-requirements.yaml,0,none
ansible-role-systemd_mount-tasks-systemd_mounts.yml,0,none
ansible-role-systemd_mount-tests-group_vars-all_containers.yml,0,none
ansible-role-systemd_mount-vars-main.yml,0,none
ansible-role-systemd_networkd-zuul.d-project.yaml,0,none
ansible-role-tripleo-modify-image-tasks-modify_image.yml,35,Suspicious comment
bifrost-playbooks-install.yaml,0,none
bifrost-playbooks-roles-bifrost-ironic-install-defaults-required_defaults_Fedora_26.yml,0,none
bifrost-playbooks-roles-bifrost-ironic-install-defaults-required_defaults_Ubuntu_15.04.yml,0,none
bifrost-playbooks-roles-bifrost-keystone-client-config-defaults-main.yml,0,none
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,15,Admin by default
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,15,Hard-coded secret
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,16,Empty password
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,47,Admin by default
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,48,Hard-coded secret
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,56,Hard-coded secret
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,62,Hard-coded secret
bifrost-playbooks-roles-bifrost-keystone-install-defaults-required_defaults_Debian_jessie.yml,0,none
bifrost-playbooks-roles-bifrost-keystone-install-defaults-required_defaults_Fedora_22.yml,0,none
bifrost-playbooks-roles-bifrost-test-dhcp-defaults-main.yml,0,none
bifrost-playbooks-roles-bifrost-test-inspection-handlers-main.yml,0,none
bifrost-playbooks-roles-bifrost-test-vm-handlers-main.yml,0,none
bifrost-playbooks-roles-bifrost-unprovision-node-dynamic-tasks-main.yml,0,none
browbeat-ansible-browbeat-roles-gnocchi-config-tasks-main.yml,0,none
browbeat-ansible-browbeat-roles-keystone-token-tasks-main.yml,0,none
browbeat-ansible-browbeat-roles-nova-db-tasks-main.yml,0,none
browbeat-ansible-check-roles-controller-tasks-main.yml,0,none
browbeat-ansible-gather-roles-rabbitmq-tasks-main.yml,0,none
browbeat-ansible-gather-roles-undercloud-tasks-main.yml,0,none
browbeat-ansible-install-roles-common-tasks-main.yml,0,none
browbeat-ansible-install-roles-epel-defaults-main.yml,0,none
browbeat-ansible-install-roles-fluentd-tasks-main.yml,0,none
browbeat-ansible-install-roles-grafana-dashboards-files-cloud_instance_count.yaml,0,none
browbeat-ansible-install-roles-grafana-dashboards-templates-partials-ironic_metrics.yaml,0,none
browbeat-ansible-install-roles-grafana-dashboards-templates-partials-processes.yaml,0,none
browbeat-ansible-install-roles-kibana-visualization-vars-keystone_controller_count_visualizations.yml,0,none
networking-ovn-migration-tripleo_environment-playbooks-ovn-migration.yml,0,none
openstack-ansible-inventory-env.d-blazar.yml,0,none
openstack-ansible-inventory-env.d-cinder.yml,0,none
openstack-ansible-inventory-env.d-designate.yml,0,none
openstack-ansible-inventory-env.d-neutron.yml,0,none
openstack-ansible-inventory-env.d-rsyslog.yml,0,none
openstack-ansible-inventory-group_vars-ceilometer_all.yml,0,none
openstack-ansible-inventory-group_vars-ceph-rgw.yml,0,none
openstack-ansible-inventory-group_vars-designate_all.yml,0,none
openstack-ansible-inventory-group_vars-trove_all.yml,0,none
openstack-ansible-inventory-group_vars-utility_all.yml,0,none
openstack-ansible-ops-elk_metrics_6x-roles-elastic_data_hosts-meta-main.yml,0,none
openstack-ansible-ops-elk_metrics_6x-roles-elastic_filebeat-tasks-main.yml,44,No integrity check
openstack-ansible-ops-elk_metrics_6x-roles-elastic_heartbeat-handlers-main.yml,0,none
openstack-ansible-ops-elk_metrics_6x-roles-elastic_journalbeat-vars-redhat.yml,0,none
openstack-ansible-ops-elk_metrics_6x-roles-elastic_kibana-meta-main.yml,0,none
openstack-ansible-ops-elk_metrics_6x-roles-elastic_logstash-tasks-logstash_arcsight.yml,0,none
openstack-ansible-ops-elk_metrics_6x-roles-elastic_rollup-defaults-main.yml,0,none
openstack-ansible-ops-elk_metrics_6x-roles-elasticsearch-meta-main.yml,0,none
openstack-ansible-ops-elk_metrics_6x-roles-go_install_1.10-tasks-main.yml,0,none
openstack-ansible-ops-elk_metrics_6x-tests-ansible-role-requirements.yml,0,none
openstack-ansible-ops-leap-upgrades-upgrade-utilities-mitaka-playbooks-deploy-config-changes-mitaka.yml,20,Admin by default
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,18,Unrestricted IP Address
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,24,Use of HTTP without SSL/TLS
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,28,Use of HTTP without SSL/TLS
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,32,Use of HTTP without SSL/TLS
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,53,Use of HTTP without SSL/TLS
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,54,Use of HTTP without SSL/TLS
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,57,Use of HTTP without SSL/TLS
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,60,Use of HTTP without SSL/TLS
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,68,Use of HTTP without SSL/TLS
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,69,Use of HTTP without SSL/TLS
