PATH,LINE,CATEGORY
AYCHIT_Asf-chef-cookbooks-rsnapshot-resources-script.rb,0,none
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-graphite.rb,130,Admin by default
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-graphite.rb,153,Admin by default
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-graphite.rb,174,Admin by default
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-graphite.rb,184,Admin by default
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-mysql.rb,87,Admin by default
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-mysql.rb,126,Admin by default
EEDARIT_opsworks-cookbooks-iis-resources-root.rb,0,none
EEDARIT_opsworks-cookbooks-windows-providers-feature_powershell.rb,0,none
Nikhil424_chef-repo-cookbooks-jdk-recipes-default.rb,11,Admin by default
Nikhil424_chef-repo-cookbooks-jdk-recipes-default.rb,15,Admin by default
Nikhil424_chef-repo-cookbooks-windows-resources-pagefile.rb,0,none
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,8,Missing default switch
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,12,Missing default switch
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,14,Use of HTTP without SSL/TLS
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,16,Use of HTTP without SSL/TLS
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,18,Use of HTTP without SSL/TLS
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,20,Use of HTTP without SSL/TLS
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,23,Missing default switch
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,26,Use of HTTP without SSL/TLS
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,28,Use of HTTP without SSL/TLS
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,30,Use of HTTP without SSL/TLS
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,33,Use of HTTP without SSL/TLS
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,36,Use of HTTP without SSL/TLS
Soluciones_ey-cloud-recipes-cookbooks-solr-attributes-solr.rb,0,none
TaxiOS_zabbix-recipes-server_source.rb,14,Missing default switch
TaxiOS_zabbix-recipes-server_source.rb,17,Missing default switch
TaxiOS_zabbix-recipes-server_source.rb,32,Missing default switch
TaxiOS_zabbix-recipes-server_source.rb,57,Missing default switch
aws_aws-parallelcluster-cookbook-cookbooks-aws-parallelcluster-slurm-recipes-install_slurm.rb,75,Admin by default
aws_aws-parallelcluster-cookbook-cookbooks-aws-parallelcluster-slurm-recipes-install_slurm.rb,93,Suspicious comment
aws_aws-parallelcluster-cookbook-cookbooks-aws-parallelcluster-slurm-recipes-install_slurm.rb,101,Admin by default
aws_aws-parallelcluster-cookbook-cookbooks-aws-parallelcluster-slurm-recipes-install_slurm.rb,112,Suspicious comment
aws_aws-parallelcluster-cookbook-cookbooks-aws-parallelcluster-slurm-recipes-install_slurm.rb,117,Missing default switch
binary-com_chef-third-party-cookbooks-cron-attributes-default.rb,0,none
binary-com_chef-third-party-cookbooks-datadog-recipes-network.rb,0,none
binary-com_chef-third-party-cookbooks-datadog-recipes-openmetrics.rb,0,none
binary-com_chef-third-party-cookbooks-poise-files-halite_gem-poise-subcontext-resource_collection.rb,0,none
chef-boneyard_qa-chef-server-cluster-attributes-default.rb,3,Hard-coded secret
chef-boneyard_qa-chef-server-cluster-attributes-default.rb,4,Hard-coded secret
chef-boneyard_qa-chef-server-cluster-attributes-default.rb,14,Hard-coded secret
chef_mixlib-install-acceptance-windows-server-2012r2-fips-.acceptance-acceptance-cookbook-recipes-verify.rb,0,none
cookbooks_hw-nginx-recipes-commons_dir.rb,0,none
cookbooks_ic-cloud_utils-cookbooks-hadoop_cluster-recipes-default.rb,0,none
cookbooks_ic-cloud_utils-cookbooks-redis-recipes-install_from_package.rb,0,none
cookbooks_ic-elasticsearch-cookbooks-install_from-definitions-osx_application.rb,0,none
cookbooks_ic-ganglia-cookbooks-elasticsearch-recipes-plugins.rb,30,Admin by default
cookbooks_ic-ganglia-cookbooks-hadoop_cluster-example-clusters-science.rb,0,none
cookbooks_ic-hadoop_cluster-cookbooks-hbase-recipes-stargate.rb,0,none
cookbooks_ic-hadoop_cluster-cookbooks-zabbix-recipes-database_mysql.rb,0,none
cookbooks_ic-hadoop_cluster-roles-cassandra_client.rb,0,none
cookbooks_ic-jenkins-cookbooks-zabbix-recipes-agent.rb,0,none
cookbooks_ic-jenkins-cookbooks-zabbix-recipes-database_mysql.rb,0,none
cookbooks_ic-motd-roles-elasticsearch_datanode.rb,0,none
cookbooks_ic-nodejs-cookbooks-hbase-recipes-config_files.rb,49,Suspicious comment
cookbooks_ic-package_set-cookbooks-rvm-providers-global_gem.rb,91,Admin by default
cookbooks_ic-pig-cookbooks-zabbix-attributes-default.rb,34,Admin by default
cookbooks_ic-pig-cookbooks-zabbix-attributes-default.rb,35,Empty password
cookbooks_ic-pig-cookbooks-zabbix-attributes-default.rb,36,Hard-coded secret
cookbooks_ic-pig-cookbooks-zabbix-attributes-default.rb,37,Empty password
cookbooks_ic-pig-cookbooks-zabbix-attributes-default.rb,51,Hard-coded secret
cookbooks_ic-pig-cookbooks-zabbix-attributes-default.rb,52,Hard-coded secret
cookbooks_ic-snappy-roles-statsd_server.rb,0,none
cookbooks_ic-tuning-cookbooks-ganglia-recipes-default.rb,0,none
cookbooks_ic-tuning-cookbooks-zabbix-libraries-zabbix_hosts_and_templates.rb,11,Missing default switch
cookbooks_ic-tuning-cookbooks-zabbix-libraries-zabbix_hosts_and_templates.rb,28,Missing default switch
cookbooks_ic-volumes-cookbooks-silverware-libraries-dump_aspects.rb,0,none
cookbooks_ic-volumes-cookbooks-strongswan-recipes-routing.rb,22,Suspicious comment
cookbooks_ic-volumes_ebs-cookbooks-graphite-attributes-default.rb,19,Unrestricted IP Address
cookbooks_ic-volumes_ebs-cookbooks-graphite-attributes-default.rb,20,Unrestricted IP Address
cookbooks_ic-volumes_ebs-cookbooks-graphite-attributes-default.rb,21,Unrestricted IP Address
cookbooks_ic-volumes_ebs-cookbooks-mongodb-attributes-mongodb.rb,3,Use of HTTP without SSL/TLS
cookbooks_ic-volumes_ebs-cookbooks-mongodb-attributes-mongodb.rb,29,Unrestricted IP Address
cookbooks_ic-volumes_ebs-cookbooks-mongodb-attributes-mongodb.rb,35,Empty password
cookbooks_ic-volumes_ebs-cookbooks-resque-attributes-default.rb,24,Unrestricted IP Address
cookbooks_ic-volumes_ebs-cookbooks-zabbix-resources-user.rb,0,none
cookbooks_ic-zabbix-cookbooks-zabbix-providers-host.rb,28,Unrestricted IP Address
cookbooks_ic-zabbix-cookbooks-zabbix-providers-host.rb,50,Unrestricted IP Address
danielladd_Chef-Testing-cookbooks-mysql-attributes-server_rhel.rb,1,Missing default switch
danielladd_Chef-Testing-cookbooks-mysql-attributes-server_rhel.rb,10,Missing default switch
davestarling_chef-features-data-cookbooks-manage_files-recipes-default.rb,0,none
desirit_chef-bach-cookbooks-bcpc-hadoop-recipes-oozie.rb,0,none
guymatz_chef-cookbooks-cutlery-libraries-notifying_action.rb,0,none
guymatz_chef-cookbooks-hive-attributes-default.rb,3,Missing default switch
guymatz_chef-cookbooks-hive-attributes-default.rb,11,Use of HTTP without SSL/TLS
guymatz_chef-cookbooks-hive-attributes-default.rb,19,Hard-coded secret
guymatz_chef-cookbooks-mysql-attributes-client.rb,41,Use of HTTP without SSL/TLS
guymatz_chef-cookbooks-nagios-recipes-server_package.rb,0,none
guymatz_chef-cookbooks-psql-resources-user.rb,0,none
guymatz_chef-cookbooks-python-attributes-default.rb,36,Use of HTTP without SSL/TLS
gwalbran_chef-cookbooks-imos_backup-attributes-restore.rb,10,Hard-coded secret
gwalbran_chef-cookbooks-imos_webapps-definitions-ncwms.rb,0,none
havk64_chef-zero-playground-cookbooks-nginx-attributes-socketproxy.rb,0,none
havk64_chef-zero-playground-cookbooks-runit-recipes-default.rb,29,Missing default switch
infochimps-labs_ironfan-pantry-cookbooks-iptables-recipes-default.rb,39,Missing default switch
infochimps-labs_ironfan-pantry-cookbooks-nodejs-recipes-install_from_binary.rb,0,none
infochimps-labs_ironfan-pantry-cookbooks-python-attributes-default.rb,36,Use of HTTP without SSL/TLS
infochimps-labs_ironfan-pantry-cookbooks-sudo-recipes-default.rb,0,none
infochimps-labs_ironfan-pantry-cookbooks-windows-providers-batch.rb,0,none
infochimps-labs_ironfan-pantry-cookbooks-zabbix-providers-media_type.rb,0,none
infochimps-labs_ironfan-pantry-cookbooks-zsh-recipes-default.rb,24,Missing default switch
johnfitzpatrick_ChefTraining-cookbooks-apache-recipes-user01_index.rb,0,none
jonmthomson_cookbooks-mingw-recipes-default.rb,14,Hard-coded secret
kitchenplan_chef-applications-recipes-omnigraffle.rb,1,Missing default switch
kitchenplan_chef-applications-recipes-omnigraffle.rb,15,No integrity check
kitchenplan_chef-applications-recipes-omnigraffle.rb,16,Use of HTTP without SSL/TLS
kitchenplan_chef-applications-recipes-omnigraffle.rb,40,No integrity check
kitchenplan_chef-applications-recipes-omnigraffle.rb,41,Use of HTTP without SSL/TLS
kitchenplan_chef-applications-recipes-omnigraffle.rb,65,No integrity check
kitchenplan_chef-applications-recipes-omnigraffle.rb,66,Use of HTTP without SSL/TLS
kitchenware_master-chef-cookbooks-base-recipes-editor.rb,5,Admin by default
michaelklishin_cassandra-chef-cookbook-recipes-opscenter_agent.rb,0,none
newrelic_infrastructure-agent-chef-recipes-default.rb,0,none
openstreetmap_chef-cookbooks-accounts-recipes-default.rb,35,Missing default switch
openstreetmap_chef-cookbooks-civicrm-recipes-default.rb,81,No integrity check
openstreetmap_chef-cookbooks-civicrm-recipes-default.rb,90,No integrity check
openstreetmap_chef-cookbooks-networking-libraries-ipaddresses.rb,0,none
pu239ppy_chef-bach-code-bcpc-recipes-mysql.rb,134,Admin by default
pu239ppy_chef-bach-code-bcpc-recipes-mysql.rb,173,Admin by default
rcbops-cookbooks_keystone-recipes-default.rb,0,none
sabarisankar27_chef-acceptance-fips-.acceptance-acceptance-cookbook-recipes-destroy.rb,0,none
sabarisankar27_chef-acceptance-top-cookbooks-.acceptance-acceptance-cookbook-recipes-provision.rb,0,none
scmgalaxy_chef-training-programs-recipes-raviteja-chef-repo-E4.rb,3,No integrity check
scmgalaxy_chef-training-programs-uma-chef-repo-cookbooks-Application-.delivery-build_cookbook-recipes-provision.rb,0,none
sous-chefs_nrpe-recipes-default.rb,0,none
sous-chefs_php-recipes-package.rb,0,none
thomasmeeus_chef-apache2-recipes-mod_php5.rb,20,Missing default switch
