PATH,LINE,CATEGORY
Automattic@vip-quickstart-puppet-manifests-sections-mail.pp,7,Admin by default
Icinga@puppet-icinga2-examples-hostgroup.pp,0,none
Juniper@contrail-puppet-contrail-environment-modules-contrail-manifests-collector-config.pp,74,Unrestricted IP Address
Mirantis@solar-resources-cinder_puppet-actions-run.pp,0,none
SecGen@SecGen-modules-services-unix-database-mysql-manifests-backup-xtrabackup.pp,4,Empty password
SecGen@SecGen-modules-services-unix-database-mysql-manifests-backup-xtrabackup.pp,32,Admin by default
SecGen@SecGen-modules-services-unix-database-mysql-manifests-backup-xtrabackup.pp,42,Admin by default
SecGen@SecGen-modules-services-unix-http-tomcat-manifests-instance-dependencies.pp,0,none
SecGen@SecGen-modules-services-unix-smb-samba-manifests-params.pp,111,Unrestricted IP Address
SecGen@SecGen-modules-utilities-unix-firewall-firewall-manifests-linux-redhat.pp,0,none
SecGen@SecGen-modules-vulnerabilities-unix-access_control_misconfigurations-uid_less_root-uid_less_root.pp,2,Admin by default
StackStorm@st2workroom-modules-profile-manifests-ec2.pp,0,none
Vizir@carnival-vagrant-modules-apt-manifests-backports.pp,31,Missing default switch
Vizir@carnival-vagrant-modules-apt-manifests-backports.pp,35,Missing default switch
Yelp@puppet-uchiwa-manifests-repo-yum.pp,0,none
alphagov@govuk-puppet-modules-govuk-manifests-node-s_calculators_frontend.pp,1,Suspicious comment
alphagov@govuk-puppet-modules-govuk-manifests-node-s_calculators_frontend.pp,29,Unrestricted IP Address
alphagov@govuk-puppet-modules-govuk_beat-manifests-repo.pp,16,Use of HTTP without SSL/TLS
alphagov@govuk-puppet-modules-govuk_ci-manifests-agent-redis.pp,0,none
alphagov@govuk-puppet-modules-govuk_elasticsearch-manifests-dump.pp,1,Suspicious comment
alphagov@govuk-puppet-modules-govuk_jenkins-manifests-jobs-scrape_icinga_alerts_for_dashboard_metrics.pp,0,none
alphagov@govuk-puppet-modules-govuk_jenkins-manifests-jobs-smokey.pp,0,none
alphagov@govuk-puppet-modules-govuk_mysql-manifests-server.pp,48,Empty password
alphagov@govuk-puppet-modules-govuk_mysql-manifests-server.pp,70,Missing default switch
alphagov@govuk-puppet-modules-govuk_mysql-manifests-server.pp,76,Missing default switch
alphagov@govuk-puppet-modules-govuk_mysql-manifests-server.pp,84,Unrestricted IP Address
alphagov@govuk-puppet-modules-govuk_postgresql-manifests-env_sync_user.pp,0,none
alphagov@govuk-puppet-modules-govuk_rabbitmq-manifests-monitoring.pp,1,Suspicious comment
alphagov@govuk-puppet-modules-govuk_rbenv-manifests-all.pp,18,Use of HTTP without SSL/TLS
alphagov@govuk-puppet-modules-icinga-manifests-init.pp,1,Suspicious comment
alphagov@govuk-puppet-modules-users-manifests-felisialoukou.pp,0,none
boxbilling@boxbilling-puphpet-puppet-modules-apache-manifests-mod-pagespeed.pp,0,none
boxbilling@boxbilling-puphpet-puppet-modules-apache-manifests-ssl.pp,0,none
boxbilling@boxbilling-puphpet-puppet-modules-puphpet-manifests-php-pecl.pp,17,Missing default switch
boxbilling@boxbilling-puphpet-puppet-modules-puphpet-manifests-php-pecl.pp,29,Missing default switch
