# CONSTRUCTED PROMPT
# File: openstack@puppet-neutron-manifests-params.pp
# Style: static_analysis_rules
# Timestamp: 2025-09-23T20:43:30.639402
# Length: 12711 characters
# ============================================================

You are a static analyzer for Infrastructure-as-Code (IaC) scripts.

Your task is to analyze the **raw code** of an IaC script and detect any **security smells** according to the formal rules and keyword-based functions below.

You must parse the script internally, identify patterns, and output a list of security smells with corresponding line numbers.

---

### SECURITY SMELL DETECTION RULES

Smell Name: Admin by default  
Rule: (isAttribute(x) ∨ isVariable(x)) ∧ (isUser(x.name) ∨ isRole(x.name)) ∧ isAdmin(x.value) ∧ ¬x.has_variable

Smell Name: Empty password  
Rule: (isAttribute(x) ∨ isVariable(x)) ∧ isPassword(x.name) ∧ length(x.value) == 0

Smell Name: Hard-coded secret  
Rule: (isAttribute(x) ∨ isVariable(x)) ∧ (isPassword(x.name) ∨ isSecret(x.name) ∨ isUser(x.name)) ∧ ¬x.has_variable

Smell Name: Invalid IP address binding  
Rule: (isAttribute(x) ∨ isVariable(x)) ∧ isInvalidBind(x.value)

Smell Name: Suspicious comment  
Rule: isComment(x) ∧ hasWrongWords(x.content)

Smell Name: Use of HTTP without TLS  
Rule: (isAttribute(x) ∨ isVariable(x)) ∧ isURL(x.value) ∧ hasHTTP(x.value) ∧ ¬hasHTTPWhitelist(x.value)

Smell Name: No integrity check  
Rule: (isAtomicUnit(x) ∧ hasDownload(x.attributes) ∧ ¬hasChecksum(x.attributes))  
     ∨ ((isAttribute(x) ∨ isVariable(x)) ∧ isCheckSum(x.name) ∧ (x.value == "no" ∨ x.value == "false"))

Smell Name: Use of weak crypto algorithm  
Rule: (isAttribute(x) ∨ isVariable(x)) ∧ isWeakCrypt(x.value) ∧ ¬hasWeakCryptWhitelist(x.name) ∧ ¬hasWeakCryptWhitelist(x.value)

Smell Name: Missing default case statement  
Rule: isConditionStatement(x) ∧ x.is_default == False ∧ ¬isDefault(x.else_statement)

---

### STRING PATTERN MATCHING FUNCTIONS

Use the following keyword heuristics to apply the detection rules:

- isUser(): "user", "uname", "username", "login", "userid", "loginid"  
- isRole(): *(empty — assume no match)*  
- isAdmin(): "admin", "root"  
- isPassword(): "pass", "pwd", "password", "passwd", "passno", "pass-no"  
- isSecret(): "auth_token", "authentication_token", "secret", "ssh_key"  
- isInvalidBind(): "0.0.0.0"  
- hasWrongWords(): "bug", "debug", "todo", "hack", "solve", "fixme"  
- hasHTTP(): "http"  
- hasHTTPWhitelist(): "localhost", "127.0.0.1"  
- isDownload(): URLs ending in ".iso", ".tar.gz", ".tgz", ".zip", ".deb", ".rpm"  
- isCheckSum(): "gpg", "checksum"  
- isWeakCrypt(): "md5", "sha1", "arcfour"  
- hasWeakCryptWhitelist(): "checksum"

---

### INSTRUCTIONS

1. Analyze the following **raw IaC code** line-by-line.
2. For each detected smell, identify:
   - The exact line number where the smell occurs
   - The specific security smell category from the rules above
   - Apply the formal rules and keyword matching functions

If no smells are found, indicate that no issues were detected.

---

### RAW CODE INPUT

**Analyzing file: openstack@puppet-neutron-manifests-params.pp (Puppet)**


Line 1: # == Class: neutron::params
Line 2: #
Line 3: # Parameters for puppet-neutron
Line 4: #
Line 5: class neutron::params {
Line 6:   include ::openstacklib::defaults
Line 7:   $pyvers = $::openstacklib::defaults::pyvers
Line 8: 
Line 9:   $client_package              = "python${pyvers}-neutronclient"
Line 10:   $ovs_agent_service           = 'neutron-openvswitch-agent'
Line 11:   $destroy_patch_ports_service = 'neutron-destroy-patch-ports'
Line 12:   $linuxbridge_agent_service   = 'neutron-linuxbridge-agent'
Line 13:   $cisco_config_file           = '/etc/neutron/plugins/cisco/cisco_plugins.ini'
Line 14:   $opencontrail_plugin_package = 'neutron-plugin-contrail'
Line 15:   $opencontrail_config_file    = '/etc/neutron/plugins/opencontrail/ContrailPlugin.ini'
Line 16:   $midonet_server_package      = "python${pyvers}-networking-midonet"
Line 17:   $midonet_server_package_ext  = "python${pyvers}-networking-midonet-ext"
Line 18:   $midonet_config_file         = '/etc/neutron/plugins/midonet/midonet.ini'
Line 19:   $ovn_plugin_package          = "python${pyvers}-networking-ovn"
Line 20:   $vpp_plugin_package          = "python${pyvers}-networking-vpp"
Line 21:   $vpp_agent_service           = 'neutron-vpp-agent'
Line 22:   $plumgrid_plugin_package     = 'networking-plumgrid'
Line 23:   $plumgrid_pythonlib_package  = 'plumgrid-pythonlib'
Line 24:   $plumgrid_config_file        = '/etc/neutron/plugins/plumgrid/plumgrid.ini'
Line 25:   $nuage_config_file           = '/etc/neutron/plugins/nuage/plugin.ini'
Line 26:   $dhcp_agent_service          = 'neutron-dhcp-agent'
Line 27:   $lbaasv2_agent_service       = 'neutron-lbaasv2-agent'
Line 28:   $haproxy_package             = 'haproxy'
Line 29:   $metering_agent_service      = 'neutron-metering-agent'
Line 30:   $l3_agent_service            = 'neutron-l3-agent'
Line 31:   $metadata_agent_service      = 'neutron-metadata-agent'
Line 32:   $ovn_metadata_agent_service  = 'networking-ovn-metadata-agent'
Line 33:   $bgp_dragent_service         = 'neutron-bgp-dragent'
Line 34:   $bagpipe_bgp_package         = 'openstack-bagpipe-bgp'
Line 35:   $bgpvpn_bagpipe_package      = "python${pyvers}-networking-bagpipe"
Line 36:   $bgpvpn_bagpipe_service      = 'bagpipe-bgp'
Line 37:   $bgpvpn_plugin_package       = "python${pyvers}-networking-bgpvpn"
Line 38:   $l2gw_agent_service          = 'neutron-l2gw-agent'
Line 39:   $nsx_plugin_package          = 'vmware-nsx'
Line 40:   $nsx_config_file             = '/etc/neutron/plugins/vmware/nsx.ini'
Line 41:   $sfc_package                 = "python${pyvers}-networking-sfc"
Line 42:   $group                       = 'neutron'
Line 43: 
Line 44:   if($::osfamily == 'Redhat') {
Line 45:     $nobody_user_group                  = 'nobody'
Line 46:     $package_name                       = 'openstack-neutron'
Line 47:     $server_service                     = 'neutron-server'
Line 48:     $server_package                     = false
Line 49:     $api_package_name                   = false
Line 50:     $api_service_name                   = false
Line 51:     $rpc_package_name                   = false
Line 52:     $rpc_service_name                   = false
Line 53:     $ml2_server_package                 = 'openstack-neutron-ml2'
Line 54:     $ovs_agent_package                  = false
Line 55:     $ovs_server_package                 = 'openstack-neutron-openvswitch'
Line 56:     $ovs_cleanup_service                = 'neutron-ovs-cleanup'
Line 57:     $libnl_package                      = 'libnl'
Line 58:     $package_provider                   = 'rpm'
Line 59:     $linuxbridge_agent_package          = false
Line 60:     $linuxbridge_server_package         = 'openstack-neutron-linuxbridge'
Line 61:     $sriov_nic_agent_service            = 'neutron-sriov-nic-agent'
Line 62:     $sriov_nic_agent_package            = 'openstack-neutron-sriov-nic-agent'
Line 63:     $bigswitch_lldp_package             = 'openstack-neutron-bigswitch-lldp'
