rank,score,method,tech,smell,file_path,line,alert_id
1,1.000000,intellisa,ansible,Admin by default,openstack-ansible-ops-leap-upgrades-upgrade-utilities-mitaka-playbooks-deploy-config-changes-mitaka.yml,20,20af10d72448e544ae5896cf46e9b08939a9c2ee
2,1.000000,intellisa,ansible,Admin by default,bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,15,234ef99c0ef1cf3999762391fb9ef0df2f9d537b
3,1.000000,intellisa,ansible,Unrestricted IP Address,openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,18,2dd5cc35d9184999b9f34c38649d60f6b6fc9efc
4,1.000000,intellisa,ansible,Admin by default,openstack-ansible-playbooks-os-designate-install.yml,22,42624927c5de7c4cb36c02a57f1f9c52e23b02b6
5,1.000000,intellisa,ansible,Empty password,bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,16,488d2b008997980afe1dee72e43ffad8f11a4f6b
6,1.000000,intellisa,ansible,No integrity check,openstack-ansible-ops-elk_metrics_6x-roles-elastic_filebeat-tasks-main.yml,44,49f8cd6c650503c589dbd18c82527e1d0127b46a
7,1.000000,intellisa,ansible,Admin by default,openstack-ansible-playbooks-utility-install.yml,18,67cac918a0a71cfe6709a24775305bac716181b0
8,1.000000,intellisa,ansible,Admin by default,openstack-ansible-playbooks-os-tempest-install.yml,19,813b944f142708aa37f8db629b75504933ab71cb
9,1.000000,intellisa,ansible,Admin by default,bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,47,c56caf8b945643c4ee3c982fa70188a68db7f825
10,1.000000,intellisa,ansible,Admin by default,openstack-ansible-playbooks-lxc-containers-destroy.yml,33,d58c31d84a9044f7960b048503f5bc73082266ec
11,0.999996,intellisa,ansible,Suspicious comment,openstack-ansible-playbooks-common-tasks-os-lxc-container-setup.yml,121,59c376ea87addaa07f570acee4a0f59413a1e7d9
12,0.999996,intellisa,ansible,Suspicious comment,openstack-ansible-playbooks-common-tasks-os-lxc-container-setup.yml,98,b60d2643f368d23f01a2cb87859293c071ab4241
13,0.999946,intellisa,ansible,Hard-coded secret,bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,48,5c3e520a542828bf0f87f1107a12d970c787ad32
14,0.999946,intellisa,ansible,Hard-coded secret,bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,62,ab43b3636bde9e01676237b20717e2284ac6f091
15,0.999946,intellisa,ansible,Hard-coded secret,bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,56,f58a433ca68b65b37c16ff9b764893322f80c25e
16,0.999923,intellisa,ansible,Suspicious comment,ansible-role-tripleo-modify-image-tasks-modify_image.yml,35,0183b724c52709f05b7a8b19f7432c7a4c4728d1
17,0.999825,intellisa,ansible,Use of HTTP without SSL/TLS,openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,69,f2b7765e5835d8421717bacfc789b29d253296da
18,0.999822,intellisa,ansible,Use of HTTP without SSL/TLS,openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,54,af78a2fc6b3392004908d4e6e73bfa29ac9bc4e9
19,0.999822,intellisa,ansible,Use of HTTP without SSL/TLS,openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,97,b81d7bd7479c1366ed41036dec63196e837d0511
20,0.999812,intellisa,ansible,Use of HTTP without SSL/TLS,openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,84,3dd6fa3ebc4dfaee2ebf9313c27c0c6e56771b34
21,0.999806,intellisa,ansible,Use of HTTP without SSL/TLS,openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,96,2bf9b12a78349f373cec5f07c43dc7c561b4ebe5
