rank,score,method,tech,smell,file_path,line,alert_id
1,1.000000,glitch,chef,Missing Default in Case Statement,Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,8,0060c78682e6d8b00002d5e1ddc1a0a731dcb6b8
2,1.000000,glitch,chef,No integrity check,kitchenplan_chef-applications-recipes-omnigraffle.rb,40,00d5e6f52942a8a17c9ecbb1fd9430fe4e31d973
3,1.000000,glitch,chef,Hard-coded secret,openstreetmap_chef-cookbooks-civicrm-recipes-default.rb,178,03d381c12100a66b82411fd452e6f535459f6a29
4,1.000000,glitch,chef,Unrestricted IP Address,cookbooks_ic-volumes_ebs-cookbooks-graphite-attributes-default.rb,21,07c61f96077baeb4aa226689fde6bee4aa51170f
5,1.000000,glitch,chef,Empty password,cookbooks_ic-pig-cookbooks-zabbix-attributes-default.rb,35,07d64a37013a82f36433693504288ac6171b519d
6,1.000000,glitch,chef,Admin by default,kitchenware_master-chef-cookbooks-base-recipes-editor.rb,5,08c17d656239dbb8dd09c5b1dd28f4f7d6b4d304
7,1.000000,glitch,chef,Use of HTTP without SSL/TLS,Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,36,0a5df171ab0bc02f4e19c2ac0d04fde714cf717f
8,1.000000,glitch,chef,Suspicious comment,binary-com_chef-third-party-cookbooks-datadog-recipes-openmetrics.rb,87,0ad0cb4b5bf18c7bf2dad7bb8b9a9203bd32ae62
9,1.000000,glitch,chef,Use of HTTP without SSL/TLS,guymatz_chef-cookbooks-hive-attributes-default.rb,11,0c759f5d51c93361f84b1148ef60539f0192cbf9
10,1.000000,glitch,chef,Hard-coded secret,aws_aws-parallelcluster-cookbook-cookbooks-aws-parallelcluster-slurm-recipes-install_slurm.rb,101,0efd6fb88f51161f71214d02942bb64abab8f687
11,1.000000,glitch,chef,Use of HTTP without SSL/TLS,Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,18,0fdf1dab6e51c9207a7b975a130968ab4f544a9a
12,1.000000,glitch,chef,Admin by default,cookbooks_ic-package_set-cookbooks-rvm-providers-global_gem.rb,91,144b31a2133245d147cef842f0b1765fca45ec48
13,1.000000,glitch,chef,Hard-coded secret,pu239ppy_chef-bach-code-bcpc-recipes-mysql.rb,134,16d5e1bf8b8b28a4305e824972973d06a5da3919
14,1.000000,glitch,chef,Use of HTTP without SSL/TLS,Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,16,17deef047cd2c851a50ea4c505fc6dd9d0ad8d1b
15,1.000000,glitch,chef,Unrestricted IP Address,cookbooks_ic-volumes_ebs-cookbooks-mongodb-attributes-mongodb.rb,29,1cf30e1f19274c8d87052b06f85a9e9ee248ba7b
16,1.000000,glitch,chef,Admin by default,cookbooks_ic-pig-cookbooks-zabbix-attributes-default.rb,34,1d334dffdf875346fbec5e6b2c2a8be545985007
17,1.000000,glitch,chef,Hard-coded secret,jonmthomson_cookbooks-mingw-recipes-default.rb,14,1dcb05970a97d69c5aa1bf592cb20eba1219ff18
18,1.000000,glitch,chef,Suspicious comment,binary-com_chef-third-party-cookbooks-datadog-recipes-openmetrics.rb,85,1fcfb66d2d7e19d28c74fa2126cac513d7506511
19,1.000000,glitch,chef,Hard-coded secret,pu239ppy_chef-bach-code-bcpc-recipes-mysql.rb,79,21034dc3f960d5d92a0cc6081055b70134098c77
20,1.000000,glitch,chef,Use of HTTP without SSL/TLS,kitchenplan_chef-applications-recipes-omnigraffle.rb,16,21a01a0845136d8ab6c68c928c5559daa7e1d86c
21,1.000000,glitch,chef,Hard-coded secret,DrRayWang_Chef-Base-cookbooks-bcpc-recipes-mysql.rb,33,26e6a3006d5b0d1140d73ae277169458e555b19f
22,1.000000,glitch,chef,Admin by default,DrRayWang_Chef-Base-cookbooks-bcpc-recipes-graphite.rb,130,279d5ad9a8602dddd5d9c4df7a1f80cc87195e57
23,1.000000,glitch,chef,Missing Default in Case Statement,openstreetmap_chef-cookbooks-accounts-recipes-default.rb,35,285f5d03d410a8dc4d7057640661a06a10b74b1d
24,1.000000,glitch,chef,Use of HTTP without SSL/TLS,infochimps-labs_ironfan-pantry-cookbooks-python-attributes-default.rb,36,29bc0ebe01d557ede622128b74821b87dad0c01a
25,1.000000,glitch,chef,Suspicious comment,aws_aws-parallelcluster-cookbook-cookbooks-aws-parallelcluster-slurm-recipes-install_slurm.rb,112,2a2068bfd42871b78ba29ade3c23620d85b3b426
26,1.000000,glitch,chef,Hard-coded secret,DrRayWang_Chef-Base-cookbooks-bcpc-recipes-graphite.rb,184,2a214f800300217f2511d2deb9585a5be59463af
27,1.000000,glitch,chef,Admin by default,cookbooks_ic-ganglia-cookbooks-elasticsearch-recipes-plugins.rb,30,2d403395d8434fe6c59b9d49a88b216e3145ff54
28,1.000000,glitch,chef,Use of HTTP without SSL/TLS,kitchenplan_chef-applications-recipes-omnigraffle.rb,66,2d5d61fd4a10fa38fb6e236d62120fe7cb2ecc99
29,1.000000,glitch,chef,Use of HTTP without SSL/TLS,guymatz_chef-cookbooks-mysql-attributes-client.rb,41,2e41da20a3ea11bda484ef57870a846648f81e71
30,1.000000,glitch,chef,Unrestricted IP Address,cookbooks_ic-volumes_ebs-cookbooks-graphite-attributes-default.rb,19,2fd3ec986b4e06918669ffa79d708b846630ef28
31,1.000000,glitch,chef,Empty password,cookbooks_ic-pig-cookbooks-zabbix-attributes-default.rb,37,3000166b144bac3d6c15710d6eb6f5e742141801
32,1.000000,glitch,chef,Suspicious comment,binary-com_chef-third-party-cookbooks-datadog-recipes-openmetrics.rb,39,30da46aad11ce2def07fb97929e0e68a269fc859
33,1.000000,glitch,chef,Hard-coded secret,pu239ppy_chef-bach-code-bcpc-recipes-mysql.rb,173,31e3595cdede35626c274b25834a7548eb32df4f
34,1.000000,glitch,chef,Hard-coded secret,cookbooks_ic-pig-cookbooks-zabbix-attributes-default.rb,36,35921b08af1148657100011974f7f78abc526b1b
35,1.000000,glitch,chef,Suspicious comment,binary-com_chef-third-party-cookbooks-datadog-recipes-openmetrics.rb,38,35d6ccde2c506d9f6984c9258f04f0e265c9b126
36,1.000000,glitch,chef,Admin by default,DrRayWang_Chef-Base-cookbooks-bcpc-recipes-mysql.rb,87,39c4636d53b95ddac3b6ea1b7bd639b3b76322e2
37,1.000000,glitch,chef,Missing Default in Case Statement,cookbooks_ic-tuning-cookbooks-zabbix-libraries-zabbix_hosts_and_templates.rb,11,3d0f66afddef2ccddc0956a0c4d0d7620ba3297d
38,1.000000,glitch,chef,No integrity check,openstreetmap_chef-cookbooks-civicrm-recipes-default.rb,90,3dbb7042caea0d2e36765c33c739df46d72a263c
39,1.000000,glitch,chef,Use of HTTP without SSL/TLS,guymatz_chef-cookbooks-python-attributes-default.rb,36,3f36aa2fa969b05040eb9f85eea2c55850252f4b
40,1.000000,glitch,chef,Use of HTTP without SSL/TLS,Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,33,44c863f4df52d355c01a8970d61d986f38bd7e0d
41,1.000000,glitch,chef,Unrestricted IP Address,cookbooks_ic-zabbix-cookbooks-zabbix-providers-host.rb,28,44d99828d7b69955269670136e8ef4481e93e3e5
42,1.000000,glitch,chef,Missing Default in Case Statement,TaxiOS_zabbix-recipes-server_source.rb,14,45a597149a9356763424dda25301bb87032736cb
43,1.000000,glitch,chef,Use of HTTP without SSL/TLS,Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,26,464c073768aafb0cac21513bf36b07634c776304
44,1.000000,glitch,chef,Hard-coded secret,guymatz_chef-cookbooks-hive-attributes-default.rb,19,468373f827c028eda8096b9b304e97d7c172166f
45,1.000000,glitch,chef,Hard-coded secret,cookbooks_ic-volumes_ebs-cookbooks-resque-attributes-default.rb,17,47d10e3420c182cf2942ac4cd0cb1617ec355d3a
46,1.000000,glitch,chef,Hard-coded secret,Nikhil424_chef-repo-cookbooks-jdk-recipes-default.rb,11,4afea08e24c0d64d66fb2b3f13c51799192c2ff4
47,1.000000,glitch,chef,Hard-coded secret,cookbooks_ic-volumes_ebs-cookbooks-mongodb-attributes-mongodb.rb,56,4cbbd36194abe7a7c4b48b33f3fcd76ea5571acf
48,1.000000,glitch,chef,Use of HTTP without SSL/TLS,Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,28,4dcbc3bb199713f34ac25b108dd4db8f00c8dfb1
49,1.000000,glitch,chef,Hard-coded secret,desirit_chef-bach-cookbooks-bcpc-hadoop-recipes-oozie.rb,102,5084150a1e9d4f0b9516c058f98e322f03f0e30c
50,1.000000,glitch,chef,Use of HTTP without SSL/TLS,cookbooks_ic-volumes_ebs-cookbooks-mongodb-attributes-mongodb.rb,3,51ebc98ab79523227a1b6f914dc704c1cd71a082
51,1.000000,glitch,chef,No integrity check,scmgalaxy_chef-training-programs-recipes-raviteja-chef-repo-E4.rb,3,527a9749a884f6c47a07834dbbd098d1dd02f203
52,1.000000,glitch,chef,Missing Default in Case Statement,TaxiOS_zabbix-recipes-server_source.rb,17,54059504150b12bcf99ea667466d3bd7bcef5a5d
53,1.000000,glitch,chef,Hard-coded secret,chef-boneyard_qa-chef-server-cluster-attributes-default.rb,14,5592093a9ea8167ff04768c534e538f858ca21b3
54,1.000000,glitch,chef,Missing Default in Case Statement,guymatz_chef-cookbooks-hive-attributes-default.rb,3,55c058284ba20070e08a46cfae92955a1f6f9ab4
