rank,score,method,tech,smell,file_path,line,alert_id
1,1.000000,slac_slic,puppet,Hard-coded secret,Juniper@contrail-puppet-contrail-environment-modules-contrail-manifests-collector-config.pp,176,03387b2ab6e80f3d0dc1567f682ecd2a1c8f0afd
2,1.000000,slac_slic,puppet,Suspicious comment,SecGen@SecGen-modules-utilities-unix-firewall-firewall-manifests-linux-redhat.pp,23,03b1c92f82af3b79af5b498b101b49e7e0f14db9
3,1.000000,slac_slic,puppet,Unrestricted IP Address,SecGen@SecGen-modules-services-unix-smb-samba-manifests-params.pp,111,046d2f9908ca01518456eca20001b227f6cfe0da
4,1.000000,slac_slic,puppet,Use of HTTP without SSL/TLS,voxpupuli@puppet-rundeck-manifests-config-global-framework.pp,28,051ea07498b8e2820a5f8bda38c872770495b341
5,1.000000,slac_slic,puppet,Empty password,purpleidea@puppet-gluster-manifests-simple.pp,26,09942d3d51894d7ee60b1f0979b536c043cabfca
6,1.000000,slac_slic,puppet,Use of HTTP without SSL/TLS,alphagov@govuk-puppet-modules-govuk_beat-manifests-repo.pp,16,09e903fdc895940b3332bb6d036bed81cbe832e0
7,1.000000,slac_slic,puppet,Hard-coded secret,alphagov@govuk-puppet-modules-govuk_postgresql-manifests-env_sync_user.pp,22,0aa64b2a57675ffd8d90483f0ac4741aef7d90cb
8,1.000000,slac_slic,puppet,Unrestricted IP Address,hubspotdevops@puppet-nexus-manifests-params.pp,36,0b0cad5cd9d7dc84ca5eb4b81bae65c7669b1f77
9,1.000000,slac_slic,puppet,Hard-coded secret,boxbilling@boxbilling-puphpet-puppet-modules-yum-manifests-repo-jpackage6.pp,12,0e4d7647c68b580c2b1f2e479c087bba23b8bfa1
10,1.000000,slac_slic,puppet,Hard-coded secret,alphagov@govuk-puppet-modules-govuk_elasticsearch-manifests-dump.pp,31,15bf016fee382c2375632741a66f9afce1d51a48
11,1.000000,slac_slic,puppet,Hard-coded secret,openstack@fuel-library-deployment-puppet-openstack_tasks-manifests-ironic-db.pp,9,15e3122b0a2837ec97860cfde6e959a537dfae5b
12,1.000000,slac_slic,puppet,Use of HTTP without SSL/TLS,boxbilling@boxbilling-puphpet-puppet-modules-yum-manifests-repo-jpackage6.pp,9,1631d9af59d36f20fa5f45e471ab7612c5c9af06
13,1.000000,slac_slic,puppet,Hard-coded secret,SecGen@SecGen-modules-utilities-unix-firewall-firewall-manifests-linux-redhat.pp,67,18d36697cef1a1d6f05878643e8d8c129f1ec156
14,1.000000,slac_slic,puppet,Use of HTTP without SSL/TLS,hubspotdevops@puppet-nexus-manifests-params.pp,28,1dd7e4b1acd5b39829160506ada4addb288000f3
15,1.000000,slac_slic,puppet,Hard-coded secret,Automattic@vip-quickstart-puppet-manifests-sections-mail.pp,7,2167b0dc053f7bb3e8f98baceb84591a7f422e69
16,1.000000,slac_slic,puppet,Hard-coded secret,puppetlabs@puppetlabs-apache-manifests-mod-ssl.pp,16,23f868e17f87bd3d36c553aaeaa264c27d4d4aa1
17,1.000000,slac_slic,puppet,Suspicious comment,purpleidea@puppet-gluster-manifests-simple.pp,81,2468f9b3e90e4987a265cbdae8e4ab126382eba7
18,1.000000,slac_slic,puppet,Hard-coded secret,danofthewired@puppet-bitbucket-examples-bitbucket_mysql_java_install.pp,13,2bbe5ebca41eadd0fa1c0d61998dd4263a33cd2b
19,1.000000,slac_slic,puppet,Hard-coded secret,openstack@puppet-neutron-manifests-server-placement.pp,71,2cd3a5aafec953759df71ab524c96fb9bdffa6e8
