tech,method,n_percent_loc,k_lines,total_lines,total_positives_gt,method_tp_coverage,tp_at_k,fp_at_k,fn_at_k,precision_at_k,recall_at_k,f1_at_k
ansible,anthropic__claude-sonnet-4-20250514__definition_based,0.5,19,3760,44,36,16,3,28,0.8421052631578947,0.36363636363636365,0.5079365079365079
ansible,anthropic__claude-sonnet-4-20250514__definition_based,1.0,38,3760,44,36,34,4,10,0.8947368421052632,0.7727272727272727,0.8292682926829269
ansible,anthropic__claude-sonnet-4-20250514__definition_based,2.0,76,3760,44,36,36,40,8,0.47368421052631576,0.8181818181818182,0.6
ansible,anthropic__claude-sonnet-4-20250514__definition_based,5.0,188,3760,44,36,36,152,8,0.19148936170212766,0.8181818181818182,0.31034482758620685
ansible,anthropic__claude-sonnet-4-20250514__definition_based,10.0,376,3760,44,36,36,340,8,0.09574468085106383,0.8181818181818182,0.17142857142857143
ansible,anthropic__claude-sonnet-4-20250514__static_analysis_rules,0.5,19,3760,44,33,16,3,28,0.8421052631578947,0.36363636363636365,0.5079365079365079
ansible,anthropic__claude-sonnet-4-20250514__static_analysis_rules,1.0,38,3760,44,33,27,11,17,0.7105263157894737,0.6136363636363636,0.6585365853658537
ansible,anthropic__claude-sonnet-4-20250514__static_analysis_rules,2.0,76,3760,44,33,33,43,11,0.4342105263157895,0.75,0.5500000000000002
ansible,anthropic__claude-sonnet-4-20250514__static_analysis_rules,5.0,188,3760,44,33,33,155,11,0.17553191489361702,0.75,0.2844827586206897
ansible,anthropic__claude-sonnet-4-20250514__static_analysis_rules,10.0,376,3760,44,33,33,343,11,0.08776595744680851,0.75,0.15714285714285717
ansible,glitch,0.5,19,3760,44,38,15,4,29,0.7894736842105263,0.3409090909090909,0.4761904761904762
ansible,glitch,1.0,38,3760,44,38,29,9,15,0.7631578947368421,0.6590909090909091,0.7073170731707317
ansible,glitch,2.0,76,3760,44,38,38,38,6,0.5,0.8636363636363636,0.6333333333333333
ansible,glitch,5.0,188,3760,44,38,38,150,6,0.20212765957446807,0.8636363636363636,0.3275862068965517
ansible,glitch,10.0,376,3760,44,38,38,338,6,0.10106382978723404,0.8636363636363636,0.18095238095238092
ansible,intellisa,0.5,19,3760,44,35,18,1,26,0.9473684210526315,0.4090909090909091,0.5714285714285715
ansible,intellisa,1.0,38,3760,44,35,35,3,9,0.9210526315789473,0.7954545454545454,0.8536585365853658
ansible,intellisa,2.0,76,3760,44,35,35,41,9,0.4605263157894737,0.7954545454545454,0.5833333333333334
ansible,intellisa,5.0,188,3760,44,35,35,153,9,0.18617021276595744,0.7954545454545454,0.3017241379310345
ansible,intellisa,10.0,376,3760,44,35,35,341,9,0.09308510638297872,0.7954545454545454,0.16666666666666666
ansible,openai__gpt-5-2025-08-07__definition_based,0.5,19,3760,44,18,17,2,27,0.8947368421052632,0.38636363636363635,0.5396825396825397
ansible,openai__gpt-5-2025-08-07__definition_based,1.0,38,3760,44,18,18,20,26,0.47368421052631576,0.4090909090909091,0.43902439024390244
ansible,openai__gpt-5-2025-08-07__definition_based,2.0,76,3760,44,18,18,58,26,0.23684210526315788,0.4090909090909091,0.3
ansible,openai__gpt-5-2025-08-07__definition_based,5.0,188,3760,44,18,18,170,26,0.09574468085106383,0.4090909090909091,0.15517241379310343
ansible,openai__gpt-5-2025-08-07__definition_based,10.0,376,3760,44,18,18,358,26,0.047872340425531915,0.4090909090909091,0.08571428571428572
ansible,openai__gpt-5-2025-08-07__static_analysis_rules,0.5,19,3760,44,35,15,4,29,0.7894736842105263,0.3409090909090909,0.4761904761904762
ansible,openai__gpt-5-2025-08-07__static_analysis_rules,1.0,38,3760,44,35,30,8,14,0.7894736842105263,0.6818181818181818,0.7317073170731707
ansible,openai__gpt-5-2025-08-07__static_analysis_rules,2.0,76,3760,44,35,35,41,9,0.4605263157894737,0.7954545454545454,0.5833333333333334
ansible,openai__gpt-5-2025-08-07__static_analysis_rules,5.0,188,3760,44,35,35,153,9,0.18617021276595744,0.7954545454545454,0.3017241379310345
ansible,openai__gpt-5-2025-08-07__static_analysis_rules,10.0,376,3760,44,35,35,341,9,0.09308510638297872,0.7954545454545454,0.16666666666666666
ansible,openrouter__x-ai_grok-4-fast__definition_based,0.5,19,3760,44,28,17,2,27,0.8947368421052632,0.38636363636363635,0.5396825396825397
ansible,openrouter__x-ai_grok-4-fast__definition_based,1.0,38,3760,44,28,28,10,16,0.7368421052631579,0.6363636363636364,0.6829268292682926
ansible,openrouter__x-ai_grok-4-fast__definition_based,2.0,76,3760,44,28,28,48,16,0.3684210526315789,0.6363636363636364,0.4666666666666667
ansible,openrouter__x-ai_grok-4-fast__definition_based,5.0,188,3760,44,28,28,160,16,0.14893617021276595,0.6363636363636364,0.24137931034482757
