tech,method,n_percent_loc,k_lines,total_lines,total_positives_gt,method_tp_coverage,tp_at_k,fp_at_k,fn_at_k,precision_at_k,recall_at_k,f1_at_k
chef,anthropic__claude-sonnet-4-20250514__definition_based,0.5,21,4090,104,51,13,8,91,0.6190476190476191,0.125,0.208
chef,anthropic__claude-sonnet-4-20250514__definition_based,1.0,41,4090,104,51,31,10,73,0.7560975609756098,0.2980769230769231,0.4275862068965517
chef,anthropic__claude-sonnet-4-20250514__definition_based,2.0,82,4090,104,51,51,31,53,0.6219512195121951,0.49038461538461536,0.5483870967741936
chef,anthropic__claude-sonnet-4-20250514__definition_based,5.0,205,4090,104,51,51,154,53,0.24878048780487805,0.49038461538461536,0.33009708737864074
chef,anthropic__claude-sonnet-4-20250514__definition_based,10.0,409,4090,104,51,51,358,53,0.12469437652811736,0.49038461538461536,0.19883040935672516
chef,anthropic__claude-sonnet-4-20250514__static_analysis_rules,0.5,21,4090,104,62,15,6,89,0.7142857142857143,0.14423076923076922,0.23999999999999996
chef,anthropic__claude-sonnet-4-20250514__static_analysis_rules,1.0,41,4090,104,62,34,7,70,0.8292682926829268,0.3269230769230769,0.46896551724137925
chef,anthropic__claude-sonnet-4-20250514__static_analysis_rules,2.0,82,4090,104,62,50,32,54,0.6097560975609756,0.4807692307692308,0.5376344086021505
chef,anthropic__claude-sonnet-4-20250514__static_analysis_rules,5.0,205,4090,104,62,62,143,42,0.3024390243902439,0.5961538461538461,0.40129449838187703
chef,anthropic__claude-sonnet-4-20250514__static_analysis_rules,10.0,409,4090,104,62,62,347,42,0.15158924205378974,0.5961538461538461,0.24171539961013644
chef,glitch,0.5,21,4090,104,64,12,9,92,0.5714285714285714,0.11538461538461539,0.192
chef,glitch,1.0,41,4090,104,64,26,15,78,0.6341463414634146,0.25,0.3586206896551724
chef,glitch,2.0,82,4090,104,64,50,32,54,0.6097560975609756,0.4807692307692308,0.5376344086021505
chef,glitch,5.0,205,4090,104,64,64,141,40,0.3121951219512195,0.6153846153846154,0.4142394822006472
chef,glitch,10.0,409,4090,104,64,64,345,40,0.15647921760391198,0.6153846153846154,0.24951267056530213
chef,intellisa,0.5,21,4090,104,70,20,1,84,0.9523809523809523,0.19230769230769232,0.32
