tech,method,n_percent_loc,k_lines,total_lines,total_positives_gt,method_tp_coverage,tp_at_k,fp_at_k,fn_at_k,precision_at_k,recall_at_k,f1_at_k
puppet,anthropic__claude-sonnet-4-20250514__definition_based,0.5,20,3964,65,49,14,6,51,0.7,0.2153846153846154,0.32941176470588235
puppet,anthropic__claude-sonnet-4-20250514__definition_based,1.0,40,3964,65,49,28,12,37,0.7,0.4307692307692308,0.5333333333333333
puppet,anthropic__claude-sonnet-4-20250514__definition_based,2.0,80,3964,65,49,49,31,16,0.6125,0.7538461538461538,0.6758620689655173
puppet,anthropic__claude-sonnet-4-20250514__definition_based,5.0,199,3964,65,49,49,150,16,0.24623115577889448,0.7538461538461538,0.3712121212121212
puppet,anthropic__claude-sonnet-4-20250514__definition_based,10.0,397,3964,65,49,49,348,16,0.12342569269521411,0.7538461538461538,0.21212121212121213
puppet,anthropic__claude-sonnet-4-20250514__static_analysis_rules,0.5,20,3964,65,40,14,6,51,0.7,0.2153846153846154,0.32941176470588235
puppet,anthropic__claude-sonnet-4-20250514__static_analysis_rules,1.0,40,3964,65,40,32,8,33,0.8,0.49230769230769234,0.6095238095238096
puppet,anthropic__claude-sonnet-4-20250514__static_analysis_rules,2.0,80,3964,65,40,40,40,25,0.5,0.6153846153846154,0.5517241379310345
puppet,anthropic__claude-sonnet-4-20250514__static_analysis_rules,5.0,199,3964,65,40,40,159,25,0.20100502512562815,0.6153846153846154,0.30303030303030304
puppet,anthropic__claude-sonnet-4-20250514__static_analysis_rules,10.0,397,3964,65,40,40,357,25,0.10075566750629723,0.6153846153846154,0.17316017316017315
puppet,glitch,0.5,20,3964,65,52,8,12,57,0.4,0.12307692307692308,0.18823529411764708
puppet,glitch,1.0,40,3964,65,52,18,22,47,0.45,0.27692307692307694,0.34285714285714286
puppet,glitch,2.0,80,3964,65,52,32,48,33,0.4,0.49230769230769234,0.44137931034482764
puppet,glitch,5.0,199,3964,65,52,52,147,13,0.2613065326633166,0.8,0.393939393939394
puppet,glitch,10.0,397,3964,65,52,52,345,13,0.1309823677581864,0.8,0.2251082251082251
puppet,intellisa,0.5,20,3964,65,54,17,3,48,0.85,0.26153846153846155,0.4
puppet,intellisa,1.0,40,3964,65,54,34,6,31,0.85,0.5230769230769231,0.6476190476190476
puppet,intellisa,2.0,80,3964,65,54,54,26,11,0.675,0.8307692307692308,0.7448275862068966
puppet,intellisa,5.0,199,3964,65,54,54,145,11,0.271356783919598,0.8307692307692308,0.4090909090909091
puppet,intellisa,10.0,397,3964,65,54,54,343,11,0.13602015113350127,0.8307692307692308,0.23376623376623376
puppet,openai__gpt-5-2025-08-07__definition_based,0.5,20,3964,65,35,11,9,54,0.55,0.16923076923076924,0.2588235294117647
puppet,openai__gpt-5-2025-08-07__definition_based,1.0,40,3964,65,35,25,15,40,0.625,0.38461538461538464,0.4761904761904762
puppet,openai__gpt-5-2025-08-07__definition_based,2.0,80,3964,65,35,35,45,30,0.4375,0.5384615384615384,0.4827586206896552
puppet,openai__gpt-5-2025-08-07__definition_based,5.0,199,3964,65,35,35,164,30,0.17587939698492464,0.5384615384615384,0.2651515151515152
puppet,openai__gpt-5-2025-08-07__definition_based,10.0,397,3964,65,35,35,362,30,0.08816120906801007,0.5384615384615384,0.15151515151515152
puppet,openai__gpt-5-2025-08-07__static_analysis_rules,0.5,20,3964,65,40,10,10,55,0.5,0.15384615384615385,0.23529411764705882
