model_name,family,size,learning_rate,batch_size,epochs,weight_decay,accuracy,f1,precision,recall
codet5p_220m,CodeT5+,220m,5.00E-05,8,5,0.01,0.843,0.794,0.800,0.788
codet5p_770m,CodeT5+,770m,2.00E-05,4,5,0.1,0.837,0.785,0.797,0.773
codet5p_770m,CodeT5+,770m,2.00E-05,8,3,0.1,0.826,0.773,0.773,0.773
codet5p_770m,CodeT5+,770m,2.00E-05,8,3,0.01,0.808,0.772,0.709,0.848
codet5p_220m,CodeT5+,220m,1.00E-05,8,5,0.01,0.831,0.772,0.803,0.742
codet5p_770m,CodeT5+,770m,2.00E-05,8,5,0.1,0.826,0.769,0.781,0.758
codet5_base,CodeT5,base,5.00E-05,8,5,0.01,0.826,0.769,0.781,0.758
codet5_large,CodeT5,large,2.00E-05,4,3,0.01,0.826,0.769,0.781,0.758
codet5p_770m,CodeT5+,770m,2.00E-05,4,3,0.1,0.820,0.767,0.761,0.773
codet5_base,CodeT5,base,5.00E-05,16,3,0.01,0.820,0.767,0.761,0.773
codet5_base,CodeT5,base,5.00E-05,16,5,0.01,0.820,0.767,0.761,0.773
codebert_base,CodeBERT,base,5.00E-05,32,3,0.01,0.826,0.766,0.790,0.742
codet5_large,CodeT5,large,2.00E-05,8,3,0.1,0.814,0.761,0.750,0.773
codet5_large,CodeT5,large,2.00E-05,4,5,0.1,0.814,0.761,0.750,0.773
codet5p_220m,CodeT5+,220m,2.00E-05,8,3,0.01,0.814,0.761,0.750,0.773
codet5p_770m,CodeT5+,770m,1.00E-05,4,5,0.1,0.820,0.760,0.778,0.742
codet5p_770m,CodeT5+,770m,2.00E-05,4,5,0.01,0.820,0.760,0.778,0.742
codet5p_770m,CodeT5+,770m,1.00E-05,4,5,0.01,0.820,0.760,0.778,0.742
codet5_large,CodeT5,large,2.00E-05,4,5,0.01,0.820,0.760,0.778,0.742
codet5_large,CodeT5,large,2.00E-05,8,5,0.01,0.802,0.757,0.716,0.803
codet5_large,CodeT5,large,1.00E-05,4,5,0.1,0.814,0.754,0.766,0.742
codet5p_770m,CodeT5+,770m,2.00E-05,4,3,0.01,0.814,0.754,0.766,0.742
codet5p_220m,CodeT5+,220m,2.00E-05,8,5,0.01,0.814,0.754,0.766,0.742
codet5_base,CodeT5,base,2.00E-05,8,5,0.01,0.820,0.752,0.797,0.712
codet5p_770m,CodeT5+,770m,2.00E-05,8,5,0.01,0.808,0.752,0.746,0.758
codet5p_220m,CodeT5+,220m,5.00E-05,16,3,0.01,0.808,0.752,0.746,0.758
codet5_large,CodeT5,large,1.00E-05,4,5,0.01,0.814,0.750,0.774,0.727
codet5p_770m,CodeT5+,770m,1.00E-05,4,3,0.1,0.814,0.750,0.774,0.727
codebert_base,CodeBERT,base,5.00E-05,32,5,0.01,0.802,0.750,0.729,0.773
codet5p_220m,CodeT5+,220m,2.00E-05,16,5,0.01,0.802,0.750,0.729,0.773
codet5_large,CodeT5,large,1.00E-05,8,5,0.1,0.802,0.750,0.729,0.773
codet5p_220m,CodeT5+,220m,5.00E-05,8,3,0.01,0.808,0.748,0.754,0.742
codet5_base,CodeT5,base,2.00E-05,8,3,0.01,0.802,0.746,0.735,0.758
unixcoder_base,UniXcoder,base,2.00E-05,8,3,0.01,0.802,0.746,0.735,0.758
unixcoder_base,UniXcoder,base,2.00E-05,8,5,0.01,0.802,0.746,0.735,0.758
codet5_small,CodeT5,small,5.00E-05,16,5,0.01,0.797,0.745,0.718,0.773
codet5_base,CodeT5,base,2.00E-05,16,5,0.01,0.808,0.744,0.762,0.727
codet5p_220m,CodeT5+,220m,1.00E-05,16,5,0.01,0.808,0.744,0.762,0.727
codet5_large,CodeT5,large,2.00E-05,4,3,0.1,0.802,0.742,0.742,0.742
codet5_base,CodeT5,base,5.00E-05,8,3,0.01,0.802,0.742,0.742,0.742
unixcoder_base,UniXcoder,base,2.00E-05,16,5,0.01,0.791,0.739,0.708,0.773
codet5p_770m,CodeT5+,770m,1.00E-05,8,5,0.1,0.802,0.738,0.750,0.727
codet5_base,CodeT5,base,2.00E-05,16,3,0.01,0.797,0.737,0.731,0.742
codebert_base,CodeBERT,base,5.00E-05,16,3,0.01,0.791,0.735,0.714,0.758
codet5p_770m,CodeT5+,770m,1.00E-05,8,5,0.01,0.802,0.734,0.758,0.712
codet5p_770m,CodeT5+,770m,1.00E-05,8,3,0.1,0.802,0.734,0.758,0.712
codet5_large,CodeT5,large,2.00E-05,8,3,0.01,0.785,0.734,0.699,0.773
codebert_base,CodeBERT,base,2.00E-05,16,5,0.01,0.797,0.733,0.738,0.727
codebert_base,CodeBERT,base,5.00E-05,16,5,0.01,0.797,0.733,0.738,0.727
codet5_large,CodeT5,large,2.00E-05,8,5,0.1,0.791,0.731,0.721,0.742
unixcoder_base,UniXcoder,base,1.00E-05,16,5,0.01,0.791,0.731,0.721,0.742
unixcoder_base,UniXcoder,base,1.00E-05,8,5,0.01,0.791,0.731,0.721,0.742
codet5p_220m,CodeT5+,220m,5.00E-05,16,5,0.01,0.802,0.730,0.767,0.697
codebert_base,CodeBERT,base,2.00E-05,32,3,0.01,0.802,0.730,0.767,0.697
codet5p_220m,CodeT5+,220m,2.00E-05,16,3,0.01,0.779,0.729,0.689,0.773
codet5p_770m,CodeT5+,770m,1.00E-05,4,3,0.01,0.791,0.727,0.727,0.727
codebert_base,CodeBERT,base,2.00E-05,16,3,0.01,0.791,0.727,0.727,0.727
codebert_base,CodeBERT,base,2.00E-05,32,5,0.01,0.791,0.727,0.727,0.727
codet5_small,CodeT5,small,5.00E-05,32,5,0.01,0.791,0.723,0.734,0.712
codet5_small,CodeT5,small,2.00E-05,16,5,0.01,0.779,0.721,0.700,0.742
codet5_small,CodeT5,small,5.00E-05,32,3,0.01,0.785,0.718,0.723,0.712
codet5_large,CodeT5,large,1.00E-05,8,5,0.01,0.779,0.712,0.712,0.712
codet5_small,CodeT5,small,5.00E-05,16,3,0.01,0.767,0.710,0.681,0.742
codet5p_220m,CodeT5+,220m,1.00E-05,16,3,0.01,0.779,0.703,0.726,0.682
codet5p_770m,CodeT5+,770m,1.00E-05,8,3,0.01,0.773,0.702,0.708,0.697
unixcoder_base,UniXcoder,base,2.00E-05,16,3,0.01,0.762,0.696,0.681,0.712
codet5_base,CodeT5,base,1.00E-05,16,5,0.01,0.773,0.693,0.721,0.667
codet5_large,CodeT5,large,1.00E-05,4,3,0.01,0.773,0.693,0.721,0.667
codet5p_220m,CodeT5+,220m,1.00E-05,8,3,0.01,0.756,0.691,0.671,0.712
codet5_large,CodeT5,large,1.00E-05,8,3,0.1,0.773,0.688,0.729,0.652
codet5_large,CodeT5,large,1.00E-05,4,3,0.1,0.738,0.681,0.640,0.727
codet5_large,CodeT5,large,1.00E-05,8,3,0.01,0.767,0.677,0.724,0.636
codet5_base,CodeT5,base,1.00E-05,8,5,0.01,0.750,0.677,0.672,0.682
unixcoder_base,UniXcoder,base,1.00E-05,8,3,0.01,0.750,0.677,0.672,0.682
codet5_small,CodeT5,small,2.00E-05,16,3,0.01,0.738,0.656,0.662,0.652
codet5_base,CodeT5,base,1.00E-05,16,3,0.01,0.750,0.645,0.709,0.591
codet5_small,CodeT5,small,2.00E-05,32,5,0.01,0.750,0.645,0.709,0.591
