,,accuracy,accuracy,accuracy,f1,f1,f1,precision,precision,precision,recall,recall,recall,threshold,threshold,threshold
label_variant,,label1,label2,label3,label1,label2,label3,label1,label2,label3,label1,label2,label3,label1,label2,label3
test_set,seed,,,,,,,,,,,,,,,
ansible,41,0.75,0.78125,0.8125,0.8095238095238095,0.8571428571428571,0.8571428571428571,0.8947368421052632,0.8076923076923077,0.9473684210526315,0.7391304347826086,0.9130434782608695,0.782608695652174,0.6900000000000004,0.5100000000000002,0.37000000000000005
ansible,42,0.78125,0.8125,0.75,0.8372093023255814,0.875,0.8260869565217391,0.9,0.84,0.8260869565217391,0.782608695652174,0.9130434782608695,0.8260869565217391,0.3,0.4500000000000001,0.4500000000000001
ansible,43,0.84375,0.84375,0.8125,0.8837209302325582,0.8936170212765957,0.8636363636363636,0.95,0.875,0.9047619047619048,0.8260869565217391,0.9130434782608695,0.8260869565217391,0.3,0.48000000000000015,0.33
chef,41,0.8301886792452831,0.5471698113207547,0.7547169811320755,0.7906976744186046,0.6,0.6666666666666666,0.7391304347826086,0.45,0.6842105263157895,0.85,0.9,0.65,0.6900000000000004,0.5100000000000002,0.37000000000000005
chef,42,0.8113207547169812,0.49056603773584906,0.7547169811320755,0.75,0.5423728813559322,0.7111111111111111,0.75,0.41025641025641024,0.64,0.75,0.8,0.8,0.3,0.4500000000000001,0.4500000000000001
chef,43,0.7547169811320755,0.660377358490566,0.7735849056603774,0.6486486486486487,0.6896551724137931,0.7,0.7058823529411765,0.5263157894736842,0.7,0.6,1.0,0.7,0.3,0.48000000000000015,0.33
combined,41,0.813953488372093,0.6511627906976745,0.7906976744186046,0.7714285714285715,0.6629213483146067,0.7352941176470589,0.7297297297297297,0.5267857142857143,0.7142857142857143,0.8181818181818182,0.8939393939393939,0.7575757575757576,0.6900000000000004,0.5100000000000002,0.37000000000000005
combined,42,0.813953488372093,0.622093023255814,0.75,0.7611940298507462,0.632768361581921,0.7152317880794702,0.75,0.5045045045045045,0.6352941176470588,0.7727272727272727,0.8484848484848485,0.8181818181818182,0.3,0.4500000000000001,0.4500000000000001
combined,43,0.7965116279069767,0.7151162790697675,0.7906976744186046,0.7286821705426356,0.7134502923976608,0.7464788732394366,0.746031746031746,0.580952380952381,0.6973684210526315,0.7121212121212122,0.9242424242424242,0.803030303030303,0.3,0.48000000000000015,0.33
puppet,41,0.8275862068965517,0.6666666666666666,0.8045977011494253,0.7272727272727273,0.5797101449275363,0.6909090909090909,0.625,0.43478260869565216,0.59375,0.8695652173913043,0.8695652173913043,0.8260869565217391,0.6900000000000004,0.5100000000000002,0.37000000000000005
puppet,42,0.8275862068965517,0.632183908045977,0.7471264367816092,0.7058823529411765,0.5428571428571428,0.6333333333333333,0.6428571428571429,0.40425531914893614,0.5135135135135135,0.782608695652174,0.8260869565217391,0.8260869565217391,0.3,0.4500000000000001,0.4500000000000001
puppet,43,0.8045977011494253,0.7011494252873564,0.7931034482758621,0.6530612244897959,0.6060606060606061,0.6896551724137931,0.6153846153846154,0.46511627906976744,0.5714285714285714,0.6956521739130435,0.8695652173913043,0.8695652173913043,0.3,0.48000000000000015,0.33
