PATH,LINE,CATEGORY,AGREEMENT
ansible-role-container-registry-tasks-docker-distribution.yml,0,none,3
ansible-role-container-registry-vars-main.yml,0,none,3
ansible-role-systemd_mount-ansible-role-requirements.yaml,0,none,1
ansible-role-systemd_mount-tasks-systemd_mounts.yml,0,none,2
ansible-role-systemd_mount-tests-group_vars-all_containers.yml,0,none,2
ansible-role-systemd_mount-vars-main.yml,0,none,3
ansible-role-systemd_networkd-zuul.d-project.yaml,0,none,3
ansible-role-tripleo-modify-image-tasks-modify_image.yml,35,Suspicious comment,2
bifrost-playbooks-install.yaml,0,none,2
bifrost-playbooks-roles-bifrost-ironic-install-defaults-required_defaults_Fedora_26.yml,8,Hard-coded secret,2
bifrost-playbooks-roles-bifrost-ironic-install-defaults-required_defaults_Ubuntu_15.04.yml,0,none,3
bifrost-playbooks-roles-bifrost-keystone-client-config-defaults-main.yml,0,none,2
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,15,Hard-coded secret,2
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,15,Admin by default,2
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,16,Empty password,3
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,47,Hard-coded secret,2
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,47,Admin by default,2
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,48,Hard-coded secret,3
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,55,Hard-coded secret,2
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,56,Hard-coded secret,3
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,61,Hard-coded secret,2
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,62,Hard-coded secret,3
bifrost-playbooks-roles-bifrost-keystone-install-defaults-required_defaults_Debian_jessie.yml,0,none,3
bifrost-playbooks-roles-bifrost-keystone-install-defaults-required_defaults_Fedora_22.yml,0,none,3
bifrost-playbooks-roles-bifrost-test-dhcp-defaults-main.yml,0,none,3
bifrost-playbooks-roles-bifrost-test-inspection-handlers-main.yml,0,none,3
bifrost-playbooks-roles-bifrost-test-vm-handlers-main.yml,0,none,3
