PATH,LINE,CATEGORY,AGREEMENT
Automattic@vip-quickstart-puppet-manifests-sections-mail.pp,7,Admin by default,2
Icinga@puppet-icinga2-examples-hostgroup.pp,0,none,3
Juniper@contrail-puppet-contrail-environment-modules-contrail-manifests-collector-config.pp,74,Unrestricted IP Address,3
Mirantis@solar-resources-cinder_puppet-actions-run.pp,0,none,3
SecGen@SecGen-modules-services-unix-database-mysql-manifests-backup-xtrabackup.pp,4,Empty password,2
SecGen@SecGen-modules-services-unix-database-mysql-manifests-backup-xtrabackup.pp,32,Admin by default,2
SecGen@SecGen-modules-services-unix-database-mysql-manifests-backup-xtrabackup.pp,42,Admin by default,2
SecGen@SecGen-modules-services-unix-http-tomcat-manifests-instance-dependencies.pp,0,none,2
SecGen@SecGen-modules-services-unix-smb-samba-manifests-params.pp,44,Admin by default,2
SecGen@SecGen-modules-services-unix-smb-samba-manifests-params.pp,111,Unrestricted IP Address,2
SecGen@SecGen-modules-utilities-unix-firewall-firewall-manifests-linux-redhat.pp,0,none,3
SecGen@SecGen-modules-vulnerabilities-unix-access_control_misconfigurations-uid_less_root-uid_less_root.pp,0,none,2
StackStorm@st2workroom-modules-profile-manifests-ec2.pp,0,none,2
Vizir@carnival-vagrant-modules-apt-manifests-backports.pp,31,Missing Default in Case Statement,2
Vizir@carnival-vagrant-modules-apt-manifests-backports.pp,35,Missing Default in Case Statement,2
Yelp@puppet-uchiwa-manifests-repo-yum.pp,21,No integrity check,2
alphagov@govuk-puppet-modules-govuk-manifests-node-s_calculators_frontend.pp,1,Suspicious comment,3
alphagov@govuk-puppet-modules-govuk-manifests-node-s_calculators_frontend.pp,29,Unrestricted IP Address,3
alphagov@govuk-puppet-modules-govuk_beat-manifests-repo.pp,16,Use of HTTP without SSL/TLS,3
alphagov@govuk-puppet-modules-govuk_ci-manifests-agent-redis.pp,0,none,3
alphagov@govuk-puppet-modules-govuk_elasticsearch-manifests-dump.pp,1,Suspicious comment,3
alphagov@govuk-puppet-modules-govuk_jenkins-manifests-jobs-scrape_icinga_alerts_for_dashboard_metrics.pp,0,none,3
alphagov@govuk-puppet-modules-govuk_jenkins-manifests-jobs-smokey.pp,0,none,2
alphagov@govuk-puppet-modules-govuk_mysql-manifests-server.pp,48,Empty password,2
alphagov@govuk-puppet-modules-govuk_mysql-manifests-server.pp,84,Unrestricted IP Address,3
alphagov@govuk-puppet-modules-govuk_postgresql-manifests-env_sync_user.pp,23,Use of weak cryptography algorithms,2
alphagov@govuk-puppet-modules-govuk_rabbitmq-manifests-monitoring.pp,1,Suspicious comment,3
alphagov@govuk-puppet-modules-govuk_rbenv-manifests-all.pp,0,none,3
alphagov@govuk-puppet-modules-icinga-manifests-init.pp,1,Suspicious comment,3
alphagov@govuk-puppet-modules-users-manifests-felisialoukou.pp,5,Hard-coded secret,2
boxbilling@boxbilling-puphpet-puppet-modules-apache-manifests-mod-pagespeed.pp,0,none,3
boxbilling@boxbilling-puphpet-puppet-modules-apache-manifests-ssl.pp,0,none,3
boxbilling@boxbilling-puphpet-puppet-modules-puphpet-manifests-php-pecl.pp,17,Missing Default in Case Statement,2
boxbilling@boxbilling-puphpet-puppet-modules-puphpet-manifests-php-pecl.pp,29,Missing Default in Case Statement,2
boxbilling@boxbilling-puphpet-puppet-modules-puphpet-manifests-php-pecl.pp,32,Missing Default in Case Statement,2
boxbilling@boxbilling-puphpet-puppet-modules-puphpet-manifests-php-pecl.pp,42,Missing Default in Case Statement,2
boxbilling@boxbilling-puphpet-puppet-modules-puphpet-manifests-php-pecl.pp,44,Missing Default in Case Statement,2
boxbilling@boxbilling-puphpet-puppet-modules-yum-manifests-repo-jpackage6.pp,0,none,1
camptocamp@puppet-python-manifests-pip-couchdb.pp,0,none,3
cargomedia@puppet-packages-modules-backup-manifests-agent.pp,21,Admin by default,2
cargomedia@puppet-packages-modules-backup-manifests-agent.pp,26,Admin by default,3
cargomedia@puppet-packages-modules-backup-manifests-agent.pp,33,Admin by default,3
cargomedia@puppet-packages-modules-capistrano-manifests-init.pp,0,none,3
cargomedia@puppet-packages-modules-mysql-manifests-server-instance.pp,1,Empty password,2
cargomedia@puppet-packages-modules-ulimit-manifests-entry.pp,0,none,3
ceph@puppet-ceph-manifests-mds.pp,0,none,3
danofthewired@puppet-bitbucket-examples-bitbucket_mysql_java_install.pp,9,Hard-coded secret,3
danofthewired@puppet-bitbucket-examples-bitbucket_mysql_java_install.pp,13,Hard-coded secret,3
danofthewired@puppet-bitbucket-examples-bitbucket_mysql_java_install.pp,14,Hard-coded secret,3
